country|country_code|sector|subsector|btype|bage|topic|feature|type|detail|estimated|value|unit|source
Austria|at|Residential sector|Residential sector|Total||BUILDING|Area|Constructed area [Mm²]||0|347.3519528|Mm²|
Austria|at|Residential sector|Residential sector|Total||BUILDING|Area|Number of dwellings/units [Mil.]||0|5.750000000000001|1e6 dimensionless|
Austria|at|Residential sector|Residential sector|Total||BUILDING|Area|Number of buildings [Mil.]||0|3.3739000000000003|1e6 dimensionless|
Austria|at|Residential sector|Residential sector|Total||BUILDING|Tenure/ownership status and distribution|Owner occupied -  dwellings/units  [Mil.]||0|3.289|1e6 dimensionless|
Austria|at|Residential sector|Residential sector|Total||BUILDING|Tenure/ownership status and distribution|Private rented  -  dwellings/units [Mil.]||0|1.5640000000000003|1e6 dimensionless|
Austria|at|Residential sector|Residential sector|Total||BUILDING|Tenure/ownership status and distribution|Social housing  -  dwellings/units [Mil.]||0|0.8970000000000001|1e6 dimensionless|
Austria|at|Residential sector|Residential sector|Total||BUILDING|Occupancy|Occupied [Mil.]||0|0.9155186721991702|1e6 dimensionless|
Austria|at|Residential sector|Residential sector|Total||BUILDING|Occupancy|Vacant [Mil.]||0|4.83448132780083|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Area|Constructed area [Mm²]||0|78.7339048|Mm²|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Area|Heated area [Mm²]||0|72.76337490258769|Mm²|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Area|Cooled area [Mm²]||0|1.65042173|Mm²|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Area|Number of dwellings/units [Mil.]||0|1.4056514968393359|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Area|Number of buildings [Mil.]||0|0.74|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Tenure/ownership status and distribution|Owner occupied -  dwellings/units  [Mil.]||0|0.8040326561921001|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Tenure/ownership status and distribution|Private rented  -  dwellings/units [Mil.]||0|0.3823372071402994|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Tenure/ownership status and distribution|Social housing  -  dwellings/units [Mil.]||0|0.2192816335069364|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Occupancy|Occupied [Mil.]||0|1.1917777726748766|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Occupancy|Vacant [Mil.]||1|0.16586687662704164|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Occupancy|Secondary dwellings/ units and others [Mil.]||1|0.048006847537417546|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Construction features (U-values)|Walls||0|1.4118107138877374|dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Construction features (U-values)|Windows ||0|2.0056517069886266|dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Construction features (U-values)|Roof ||0|1.0177328502066114|dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Construction features (U-values)|Floor ||0|1.1292799288166386|dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|WALLS|construction material|brick||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|WALLS|construction methodology|solid wall||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|WINDOWS|construction material|wood||0|0.716823393217505|dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|WINDOWS|construction material|synthetic / pvc||0|0.28317660678249507|dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|WINDOWS|construction methodology|single glazing||0|0.716823393217505|dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|WINDOWS|construction methodology|double glazing||0|0.28317660678249507|dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|ROOF|construction material|wood||0|0.8111778385974324|dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|ROOF|construction material|concrete||0|0.1887655260812112|dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|ROOF|construction material|tilted roof||0|0.8111778385974324|dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|ROOF|construction material|flat roof||0|0.1887655260812112|dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|FLOOR|construction material|concrete||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|FLOOR|construction methodology|concrete slab||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|ENERGY|Useful energy demand|Space heating [kWh/m² year]||0|144.0392906778036|kWh/m²/year|
Austria|at|Residential sector|Total|Total|Before 1945|ENERGY|Useful energy demand|Space cooling [kWh/m² year]||0|21.928456707881715|kWh/m²/year|
Austria|at|Residential sector|Total|Total|Before 1945|ENERGY|Useful energy demand|Domestic hot water  [kWh/m² year]||0|19.133204608673537|kWh/m²/year|
Austria|at|Residential sector|Total|Total|Before 1945|ENERGY|Final energy consumption|Space heating [kWh/m² year]||0|191.2697740910554|kWh/m²/year|
Austria|at|Residential sector|Total|Total|Before 1945|ENERGY|Final energy consumption|Space cooling [kWh/m² year]||0|3.727837640339892|kWh/m²/year|
Austria|at|Residential sector|Total|Total|Before 1945|ENERGY|Final energy consumption|Domestic hot water [kWh/m² year]||0|28.699806913010306|kWh/m²/year|
Austria|at|Residential sector|Total|Total|Before 1945|ENERGY|Total useful energy demand|Space heating+Domestic hot water [TWh/year]||0|11.98721681847005|TWh/year|
Austria|at|Residential sector|Total|Total|Before 1945|ENERGY|Total useful energy demand|Space cooling [TWh/year]||0|0.031577856650690954|TWh/year|
Austria|at|Residential sector|Total|Total|Before 1945|ENERGY|Total final energy consumption|Space heating+Domestic hot water [TWh/year]||0|16.177082144988052|TWh/year|
Austria|at|Residential sector|Total|Total|Before 1945|ENERGY|Total final energy consumption|Space cooling [TWh/year]||0|0.0061525042475288816|TWh/year|
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Area|Constructed area [Mm²]||0|92.2876096|Mm²|
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Area|Heated area [Mm²]||0|85.28927852932362|Mm²|
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Area|Cooled area [Mm²]||0|1.869957|Mm²|
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Area|Number of dwellings/units [Mil.]||0|1.5616646532695424|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Area|Number of buildings [Mil.]||0|0.854|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Tenure/ownership status and distribution|Owner occupied -  dwellings/units  [Mil.]||0|0.8932721816701781|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Tenure/ownership status and distribution|Private rented  -  dwellings/units [Mil.]||0|0.42477278568931554|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Tenure/ownership status and distribution|Social housing  -  dwellings/units [Mil.]||0|0.24361968591004862|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Occupancy|Occupied [Mil.]||0|1.3323688496627275|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Occupancy|Vacant [Mil.]||1|0.18427642908580597|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Occupancy|Secondary dwellings/ units and others [Mil.]||1|0.04501937452100888|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Construction features (U-values)|Walls||0|1.4000000000000001|dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Construction features (U-values)|Windows ||0|2.638759794684291|dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Construction features (U-values)|Roof ||0|0.792142517211758|dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|BUILDING|Construction features (U-values)|Floor ||0|1.3990473850132101|dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|WALLS|construction material|brick||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|WALLS|construction methodology|honeycomb bricks / hollow blocks wall||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|WINDOWS|construction material|wood||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|WINDOWS|construction methodology|single glazing||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|ROOF|construction material|wood||0|0.733996742288577|dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|ROOF|construction material|concrete||0|0.2660032577114231|dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|ROOF|construction material|tilted roof||0|0.811959537415519|dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|ROOF|construction material||insulation|0|0.6560339471616351|dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|ROOF|construction material|flat roof||0|0.18804046258448112|dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|FLOOR|construction material|concrete||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|FLOOR|construction methodology|concrete slab||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1945 - 1969|ENERGY|Useful energy demand|Space heating [kWh/m² year]||0|155.20329608370662|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1945 - 1969|ENERGY|Useful energy demand|Space cooling [kWh/m² year]||0|52.11581218645497|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1945 - 1969|ENERGY|Useful energy demand|Domestic hot water  [kWh/m² year]||0|18.699897527490627|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1945 - 1969|ENERGY|Final energy consumption|Space heating [kWh/m² year]||0|206.09445686955402|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1945 - 1969|ENERGY|Final energy consumption|Space cooling [kWh/m² year]||0|8.859688071697345|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1945 - 1969|ENERGY|Final energy consumption|Domestic hot water [kWh/m² year]||0|28.04984629123594|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1945 - 1969|ENERGY|Total useful energy demand|Space heating+Domestic hot water [TWh/year]||0|14.962945990929398|TWh/year|
Austria|at|Residential sector|Total|Total|1945 - 1969|ENERGY|Total useful energy demand|Space cooling [TWh/year]||0|0.09745432780874679|TWh/year|
Austria|at|Residential sector|Total|Total|1945 - 1969|ENERGY|Total final energy consumption|Space heating+Domestic hot water [TWh/year]||0|20.16630079916266|TWh/year|
Austria|at|Residential sector|Total|Total|1945 - 1969|ENERGY|Total final energy consumption|Space cooling [TWh/year]||0|0.016567235727486952|TWh/year|
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Area|Constructed area [Mm²]||0|53.3176096|Mm²|
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Area|Heated area [Mm²]||0|49.27444188230593|Mm²|
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Area|Cooled area [Mm²]||0|1.192316|Mm²|
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Area|Number of dwellings/units [Mil.]||0|0.8674501197687615|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Area|Number of buildings [Mil.]||0|0.544|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Tenure/ownership status and distribution|Owner occupied -  dwellings/units  [Mil.]||0|0.4961814685077316|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Tenure/ownership status and distribution|Private rented  -  dwellings/units [Mil.]||0|0.23594643257710313|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Tenure/ownership status and distribution|Social housing  -  dwellings/units [Mil.]||0|0.1353222186839268|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Occupancy|Occupied [Mil.]||0|0.7442208891528583|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Occupancy|Vacant [Mil.]||1|0.10235911413271387|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Occupancy|Secondary dwellings/ units and others [Mil.]||1|0.020870116483189306|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Construction features (U-values)|Walls||0|1.3227924516706016|dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Construction features (U-values)|Windows ||0|2.4803397217567684|dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Construction features (U-values)|Roof ||0|0.7918672362986057|dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Construction features (U-values)|Floor ||0|0.6989519320085948|dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|WALLS|construction material|brick||0|0.7332250093972705|dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|WALLS|construction material|concrete||0|0.2667749906027295|dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|WALLS|construction methodology|honeycomb bricks / hollow blocks wall||0|0.8420070805274812|dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|WALLS|construction methodology|other||0|0.15799291947251892|dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|WINDOWS|construction material|wood||0|0.5543910355651054|dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|WINDOWS|construction material|synthetic / pvc||0|0.4456089644348947|dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|WINDOWS|construction methodology|single glazing||0|0.10878207113021061|dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|WINDOWS|construction methodology|double glazing||0|0.8912179288697895|dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|ROOF|construction material|wood||0|0.10878207113021061|dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|ROOF|construction material|concrete||0|0.8912179288697895|dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|ROOF|construction material|tilted roof||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|ROOF|construction material||insulation|0|0.8420070805274812|dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|FLOOR|construction material|concrete||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|FLOOR|construction methodology|concrete slab||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|FLOOR|construction methodology||insulation|0|0.7332250093972705|dimensionless|
Austria|at|Residential sector|Total|Total|1970 - 1979|ENERGY|Useful energy demand|Space heating [kWh/m² year]||0|148.2162179184415|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1970 - 1979|ENERGY|Useful energy demand|Space cooling [kWh/m² year]||0|31.701318768475872|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1970 - 1979|ENERGY|Useful energy demand|Domestic hot water  [kWh/m² year]||0|18.32693632914487|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1970 - 1979|ENERGY|Final energy consumption|Space heating [kWh/m² year]||0|196.81631577389845|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1970 - 1979|ENERGY|Final energy consumption|Space cooling [kWh/m² year]||0|5.389224190640898|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1970 - 1979|ENERGY|Final energy consumption|Domestic hot water [kWh/m² year]||0|27.490404493717307|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1970 - 1979|ENERGY|Total useful energy demand|Space heating+Domestic hot water [TWh/year]||0|8.280419852198838|TWh/year|
Austria|at|Residential sector|Total|Total|1970 - 1979|ENERGY|Total useful energy demand|Space cooling [TWh/year]||0|0.03779798958875408|TWh/year|
Austria|at|Residential sector|Total|Total|1970 - 1979|ENERGY|Total final energy consumption|Space heating+Domestic hot water [TWh/year]||0|11.163736767632635|TWh/year|
Austria|at|Residential sector|Total|Total|1970 - 1979|ENERGY|Total final energy consumption|Space cooling [TWh/year]||0|0.006425658230088192|TWh/year|
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Area|Constructed area [Mm²]||0|42.7676096|Mm²|
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Area|Heated area [Mm²]||0|39.52446685982616|Mm²|
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Area|Cooled area [Mm²]||0|0.994923|Mm²|
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Area|Number of dwellings/units [Mil.]||0|0.6321378905014521|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Area|Number of buildings [Mil.]||0|0.44000000000000006|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Tenure/ownership status and distribution|Owner occupied -  dwellings/units  [Mil.]||0|0.36158287336683054|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Tenure/ownership status and distribution|Private rented  -  dwellings/units [Mil.]||0|0.17194150621639495|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Tenure/ownership status and distribution|Social housing  -  dwellings/units [Mil.]||0|0.09861351091822652|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Occupancy|Occupied [Mil.]||0|0.5441873515090202|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Occupancy|Vacant [Mil.]||1|0.07459227107917132|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Occupancy|Secondary dwellings/ units and others [Mil.]||1|0.013358267913260466|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Construction features (U-values)|Walls||0|0.8801819477888239|dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Construction features (U-values)|Windows ||0|1.9575178838145773|dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Construction features (U-values)|Roof ||0|0.5163033796492569|dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Construction features (U-values)|Floor ||0|0.5180468007265012|dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|WALLS|construction material|brick||0|0.7749744516934611|dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|WALLS|construction material|concrete||0|0.22502554830653893|dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|WALLS|construction methodology|honeycomb bricks / hollow blocks wall||0|0.8643833486545857|dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|WALLS|construction methodology|other||0|0.13561665134541445|dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|WINDOWS|construction material|synthetic / pvc||0|0.8874872258467306|dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|WINDOWS|construction material|aluminium||0|0.11251277415326946|dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|WINDOWS|construction methodology|single glazing||0|0.13561665134541445|dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|WINDOWS|construction methodology|double glazing||0|0.8643833486545857|dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|WINDOWS|construction methodology||low-e|0|0.8427827773661684|dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|ROOF|construction material|wood||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|ROOF|construction material|flat roof||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|ROOF|construction material||insulation|0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|FLOOR|construction material|concrete||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|FLOOR|construction methodology|concrete slab||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|FLOOR|construction methodology||insulation|0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1980 - 1989|ENERGY|Useful energy demand|Space heating [kWh/m² year]||0|122.15915535081336|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1980 - 1989|ENERGY|Useful energy demand|Space cooling [kWh/m² year]||0|38.56734831839473|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1980 - 1989|ENERGY|Useful energy demand|Domestic hot water  [kWh/m² year]||0|18.125217094066564|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1980 - 1989|ENERGY|Final energy consumption|Space heating [kWh/m² year]||0|162.21514239034508|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1980 - 1989|ENERGY|Final energy consumption|Space cooling [kWh/m² year]||0|6.556449214127104|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1980 - 1989|ENERGY|Final energy consumption|Domestic hot water [kWh/m² year]||0|27.187825641099845|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1980 - 1989|ENERGY|Total useful energy demand|Space heating+Domestic hot water [TWh/year]||0|5.603447695881864|TWh/year|
Austria|at|Residential sector|Total|Total|1980 - 1989|ENERGY|Total useful energy demand|Space cooling [TWh/year]||0|0.038371541890982235|TWh/year|
Austria|at|Residential sector|Total|Total|1980 - 1989|ENERGY|Total final energy consumption|Space heating+Domestic hot water [TWh/year]||0|7.574225332460604|TWh/year|
Austria|at|Residential sector|Total|Total|1980 - 1989|ENERGY|Total final energy consumption|Space cooling [TWh/year]||0|0.0065231621214669805|TWh/year|
Austria|at|Residential sector|Total|Total|1990 - 1999|BUILDING|Area|Constructed area [Mm²]||0|49.0476096|Mm²|
Austria|at|Residential sector|Total|Total|1990 - 1999|BUILDING|Area|Heated area [Mm²]||0|45.31824346088521|Mm²|
Austria|at|Residential sector|Total|Total|1990 - 1999|BUILDING|Area|Cooled area [Mm²]||0|1.118445|Mm²|
Austria|at|Residential sector|Total|Total|1990 - 1999|BUILDING|Area|Number of dwellings/units [Mil.]||0|0.7399063140758038|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|BUILDING|Area|Number of buildings [Mil.]||0|0.478|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|BUILDING|Tenure/ownership status and distribution|Owner occupied -  dwellings/units  [Mil.]||0|0.4232264116513597|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|BUILDING|Tenure/ownership status and distribution|Private rented  -  dwellings/units [Mil.]||0|0.20125451742861863|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|BUILDING|Tenure/ownership status and distribution|Social housing  -  dwellings/units [Mil.]||0|0.11542538499582539|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|BUILDING|Occupancy|Occupied [Mil.]||0|0.6334412600918754|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|BUILDING|Occupancy|Vacant [Mil.]||1|0.08730894506094483|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|BUILDING|Occupancy|Secondary dwellings/ units and others [Mil.]||1|0.019156108922983403|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|BUILDING|Construction features (U-values)|Walls||0|0.35|dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|BUILDING|Construction features (U-values)|Windows ||0|1.294662130078608|dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|BUILDING|Construction features (U-values)|Roof ||0|0.2862338933638878|dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|BUILDING|Construction features (U-values)|Floor ||0|0.3740450493228522|dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|WALLS|construction material|concrete||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|WALLS|construction methodology|honeycomb bricks / hollow blocks wall||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|WALLS|construction methodology||insulation|0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|WINDOWS|construction material|synthetic / pvc||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|WINDOWS|construction methodology|single glazing||0|0.19430100830031075|dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|WINDOWS|construction methodology|double glazing||0|0.8056989916996893|dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|WINDOWS|construction methodology||low-e|0|0.19430100830031075|dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|ROOF|construction material|wood||0|0.8056989916996893|dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|ROOF|construction material|concrete + bricks||0|0.19430100830031075|dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|ROOF|construction material|flat roof||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|ROOF|construction material||insulation|0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|FLOOR|construction material|concrete||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|FLOOR|construction methodology|concrete slab||0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|FLOOR|construction methodology||insulation|0|1|dimensionless|
Austria|at|Residential sector|Total|Total|1990 - 1999|ENERGY|Useful energy demand|Space heating [kWh/m² year]||0|107.14746646271163|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1990 - 1999|ENERGY|Useful energy demand|Space cooling [kWh/m² year]||0|27.054583222492568|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1990 - 1999|ENERGY|Useful energy demand|Domestic hot water  [kWh/m² year]||0|18.476585220007532|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1990 - 1999|ENERGY|Final energy consumption|Space heating [kWh/m² year]||0|142.2811207158348|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1990 - 1999|ENERGY|Final energy consumption|Space cooling [kWh/m² year]||0|4.5992791478237365|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1990 - 1999|ENERGY|Final energy consumption|Domestic hot water [kWh/m² year]||0|27.714877830011297|kWh/m²/year|
Austria|at|Residential sector|Total|Total|1990 - 1999|ENERGY|Total useful energy demand|Space heating+Domestic hot water [TWh/year]||0|5.761967309986259|TWh/year|
Austria|at|Residential sector|Total|Total|1990 - 1999|ENERGY|Total useful energy demand|Space cooling [TWh/year]||0|0.030259063332280695|TWh/year|
Austria|at|Residential sector|Total|Total|1990 - 1999|ENERGY|Total final energy consumption|Space heating+Domestic hot water [TWh/year]||0|7.807278976405889|TWh/year|
Austria|at|Residential sector|Total|Total|1990 - 1999|ENERGY|Total final energy consumption|Space cooling [TWh/year]||0|0.005144040766487718|TWh/year|
Austria|at|Residential sector|Total|Total|2000 - 2010|BUILDING|Area|Constructed area [Mm²]||0|24.003804799999997|Mm²|
Austria|at|Residential sector|Total|Total|2000 - 2010|BUILDING|Area|Heated area [Mm²]||0|22.183554241182936|Mm²|
Austria|at|Residential sector|Total|Total|2000 - 2010|BUILDING|Area|Cooled area [Mm²]||0|0.581107|Mm²|
Austria|at|Residential sector|Total|Total|2000 - 2010|BUILDING|Area|Number of dwellings/units [Mil.]||0|0.41196630055122063|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|2000 - 2010|BUILDING|Area|Number of buildings [Mil.]||0|0.24899999999999997|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|2000 - 2010|BUILDING|Tenure/ownership status and distribution|Owner occupied -  dwellings/units  [Mil.]||0|0.23564472391529817|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|2000 - 2010|BUILDING|Tenure/ownership status and distribution|Private rented  -  dwellings/units [Mil.]||0|0.11205483374993203|1e6 dimensionless|
