Time,price
01-01-2023 00:00:00,7.8
02-01-2023 00:00:00,7.8
03-01-2023 00:00:00,6.8
04-01-2023 00:00:00,7.6
05-01-2023 00:00:00,6.4
06-01-2023 00:00:00,6.8
07-01-2023 00:00:00,7.1
08-01-2023 00:00:00,7.1
09-01-2023 00:00:00,7.2
10-01-2023 00:00:00,7.7
11-01-2023 00:00:00,7.1
12-01-2023 00:00:00,7.0
13-01-2023 00:00:00,7.5
14-01-2023 00:00:00,7.2
15-01-2023 00:00:00,7.2
16-01-2023 00:00:00,7.5
17-01-2023 00:00:00,6.5
18-01-2023 00:00:00,6.8
19-01-2023 00:00:00,7.3
20-01-2023 00:00:00,7.2
21-01-2023 00:00:00,7.8
22-01-2023 00:00:00,7.8
23-01-2023 00:00:00,7.7
24-01-2023 00:00:00,7.6
25-01-2023 00:00:00,6.9
26-01-2023 00:00:00,6.7
27-01-2023 00:00:00,6.6
28-01-2023 00:00:00,6.7
29-01-2023 00:00:00,6.7
30-01-2023 00:00:00,6.6
31-01-2023 00:00:00,6.4
01-02-2023 00:00:00,6.8
02-02-2023 00:00:00,6.9
03-02-2023 00:00:00,6.6
04-02-2023 00:00:00,7.0
05-02-2023 00:00:00,7.0
06-02-2023 00:00:00,7.0
07-02-2023 00:00:00,6.9
08-02-2023 00:00:00,6.6
09-02-2023 00:00:00,6.4
10-02-2023 00:00:00,6.2
11-02-2023 00:00:00,6.4
12-02-2023 00:00:00,6.4
13-02-2023 00:00:00,6.4
14-02-2023 00:00:00,6.1
15-02-2023 00:00:00,6.2
16-02-2023 00:00:00,6.4
17-02-2023 00:00:00,5.9
18-02-2023 00:00:00,5.7
19-02-2023 00:00:00,5.7
20-02-2023 00:00:00,5.7
21-02-2023 00:00:00,5.8
22-02-2023 00:00:00,5.9
23-02-2023 00:00:00,6.0
24-02-2023 00:00:00,6.0
25-02-2023 00:00:00,6.1
26-02-2023 00:00:00,6.1
27-02-2023 00:00:00,6.2
28-02-2023 00:00:00,5.8
01-03-2023 00:00:00,5.8
02-03-2023 00:00:00,5.9
03-03-2023 00:00:00,5.9
04-03-2023 00:00:00,5.7
05-03-2023 00:00:00,5.7
06-03-2023 00:00:00,5.7
07-03-2023 00:00:00,5.5
08-03-2023 00:00:00,5.7
09-03-2023 00:00:00,5.5
10-03-2023 00:00:00,5.6
11-03-2023 00:00:00,6.4
12-03-2023 00:00:00,6.4
13-03-2023 00:00:00,6.4
14-03-2023 00:00:00,5.9
15-03-2023 00:00:00,5.6
16-03-2023 00:00:00,5.1
17-03-2023 00:00:00,5.1
18-03-2023 00:00:00,5.0
19-03-2023 00:00:00,5.0
20-03-2023 00:00:00,4.9
21-03-2023 00:00:00,4.7
22-03-2023 00:00:00,4.9
23-03-2023 00:00:00,4.8
24-03-2023 00:00:00,5.0
25-03-2023 00:00:00,5.1
26-03-2023 00:00:00,5.1
27-03-2023 01:00:00,5.1
28-03-2023 01:00:00,5.1
29-03-2023 01:00:00,5.0
30-03-2023 01:00:00,5.0
31-03-2023 01:00:00,5.2
01-04-2023 01:00:00,5.6
02-04-2023 01:00:00,5.6
03-04-2023 01:00:00,5.6
04-04-2023 01:00:00,6.0
05-04-2023 01:00:00,5.4
06-04-2023 01:00:00,5.2
07-04-2023 01:00:00,5.2
08-04-2023 01:00:00,5.2
09-04-2023 01:00:00,5.2
10-04-2023 01:00:00,5.2
11-04-2023 01:00:00,5.2
12-04-2023 01:00:00,5.0
13-04-2023 01:00:00,5.0
14-04-2023 01:00:00,5.0
15-04-2023 01:00:00,4.9
16-04-2023 01:00:00,4.9
17-04-2023 01:00:00,4.9
18-04-2023 01:00:00,4.9
19-04-2023 01:00:00,5.0
20-04-2023 01:00:00,4.8
21-04-2023 01:00:00,4.9
22-04-2023 01:00:00,4.9
23-04-2023 01:00:00,4.9
24-04-2023 01:00:00,4.9
25-04-2023 01:00:00,4.9
26-04-2023 01:00:00,4.9
27-04-2023 01:00:00,4.6
28-04-2023 01:00:00,4.6
29-04-2023 01:00:00,4.6
30-04-2023 01:00:00,4.6
01-05-2023 01:00:00,4.6
02-05-2023 01:00:00,4.6
03-05-2023 01:00:00,4.4
04-05-2023 01:00:00,4.3
05-05-2023 01:00:00,4.3
