,case,zones_controlled,name,retrofit_name,installation_cost,mean_emissions,std_emissions,mean_cost,std_cost,mean_comfort,std_comfort,bill_saving,payback,relative_cost,relative_cost_std,relative_emissions,relative_emissions_std
0,0,0,Baseline Manual Control,Baseline,0.0,4.20644385831066,0.7645511205856085,1208.6165526900081,208.45235857449734,16.662015897175714,11.622828558095794,-0.0,,0.0,17.247187133962928,-0.0,18.175711987100147
1,0,1,Baseline One Zone Controlled,Baseline,60.0,3.976048604369277,0.668767912287316,1143.717113198124,181.95363491048738,17.476957551158463,11.499794926582666,64.8994394918841,0.9245072140800725,-5.36972949339788,15.054703206365547,-5.477197882629337,15.898652990840064
2,0,4,Baseline Partial Control,Baseline,240.0,3.5375021553094164,0.4098780408241627,1022.708787081839,111.14238745890835,19.03454253340098,9.807393780458337,185.90776560816914,1.2909627481933112,-15.381864926009472,9.195835288829995,-15.902784526164949,9.744051142258032
3,0,9,Baseline Full Control,Baseline,520.0,2.9611804267023922,0.0,864.6438924055233,0.0,12.3382800608828,0.0,343.97266028448485,1.5117480545399469,-28.46003221773752,0.0,-29.603709773708353,0.0
4,1,0,Fabric - Low cost Manual Control,Fabric - Low cost,3800.0,4.025671184522107,0.7305893785573366,1155.89414744117,198.91828836049507,16.787798072044648,11.758216951605238,52.722405248838186,72.07561912368818,-4.362211086013538,16.45834552884157,-4.297517805483153,17.36833779711366
5,1,4,Fabric - Low cost Partial Control,Fabric - Low cost,4040.0,3.383129414262368,0.39448538025342766,977.2327067191914,106.81442528013451,20.631024860476916,9.714370971620827,231.38384597081676,17.460164442549477,-19.144520688205667,8.837743041198511,-19.572695411628327,9.378120653483677
6,1,9,Fabric - Low cost Full Control,Fabric - Low cost,4320.0,2.827183471637016,0.0,824.7464781527486,0.0,16.040715372907155,0.0,383.8700745372595,11.253807698366675,-31.761113455122135,0.0,-32.78922608104333,0.0
7,2,0,Fabric - Shallow Manual Control,Fabric - Shallow,16000.0,3.3137085442645913,0.59630478787933,951.6322864045366,162.08739718996893,16.01851851851852,11.675401003961193,256.98426628547156,62.26062097601868,-21.26267969055229,13.410986042613127,-21.223041222392492,14.175983513989191
8,2,4,Fabric - Shallow Partial Control,Fabric - Shallow,16240.0,2.774707198366613,0.32433867014878065,801.1360306148063,87.77499617003112,22.867199391171994,9.09059895383294,407.48052207520186,39.85466573296197,-33.71462364703476,7.262435383221503,-34.03674714724573,7.710519409595486
9,2,9,Fabric - Shallow Full Control,Fabric - Shallow,16520.0,2.31278983823294,0.0,673.6820412490923,0.0,22.054794520547947,0.0,534.9345114409158,30.882284927740457,-44.2600682780917,0.0,-45.0179316273634,0.0
10,3,0,Fabric - Deep Manual Control,Fabric - Deep,51000.0,1.0786548734844843,0.23736955960465034,434.1320775401395,65.74192861589094,16.423346862844582,16.62486157471374,774.4844751498686,65.85025476479838,-64.0802472402107,5.439436392755805,-74.35708380242878,5.642998399602551
11,3,4,Fabric - Deep Partial Control,Fabric - Deep,51240.0,0.8837142305268344,0.13256671555114033,376.2460435880855,36.56456025139496,21.873625909014038,9.730250255411242,832.3705091019226,61.55912474035734,-68.86969297659562,3.0253234717010544,-78.99141744680884,3.1515151519074385
12,3,9,Fabric - Deep Full Control,Fabric - Deep,51520.0,0.7053262986897975,0.0,325.10305664309874,0.0,26.162480974124808,0.0,883.5134960469094,58.31263498578701,-73.1012242121358,0.0,-83.2322426627355,0.0
13,4,0,Fabric - Passivhaus Manual Control,Fabric - Passivhaus,71000.0,0.8552396362350815,0.1881675790707236,367.27805705872765,52.22913847756929,18.180069338745138,14.361196122329593,841.3384956312805,84.38933956864372,-69.61169725490853,4.32139857437194,-79.66834539951397,4.473317258209958
14,4,4,Fabric - Passivhaus Partial Control,Fabric - Passivhaus,71240.0,0.6763520884255743,0.09859491590982133,314.26577744280445,27.24549993112767,26.89074919668527,6.908994161427922,894.3507752472037,79.65554676274401,-73.99789232214754,2.2542716191076138,-83.92104801091527,2.3439018617835017
15,4,9,Fabric - Passivhaus Full Control,Fabric - Passivhaus,71520.0,0.5369408926290927,0.0,274.6278362487608,0.0,33.525494672754945,0.0,933.9887164412473,76.57480089535854,-77.27750495907706,0.0,-87.23527733364942,0.0
16,5,0,System - ASHP Manual Control,System - ASHP,28000.0,1.4008702799390034,0.22258359408943656,2174.831675499139,361.88250454853136,17.985371215964825,12.315897220301949,-966.2151228091307,-28.979053772822404,79.94389292936899,29.941878898075025,-66.69704084671646,5.2914909026939405
17,5,4,System - ASHP Partial Control,System - ASHP,28240.0,1.320170405186197,0.13122629954460743,2052.8561212959353,214.79122248949398,19.315702688990356,9.741418613468475,-844.2395686059272,-33.4502208261004,69.85172979196007,17.771659837972173,-68.61552300102758,3.119649375216169
18,5,9,System - ASHP Full Control,System - ASHP,28520.0,1.1325225844710416,0.0,1778.0796200830491,0.0,13.131659056316591,0.0,-569.463067393041,-50.08226456293717,47.11693432673842,0.0,-73.07648401788317,0.0
19,10,0,System - ASHP+PV+Batt Manual Control,System - ASHP+PV+Batt,48000.0,1.0620822674959338,0.18603607172621264,1654.4874846263892,309.809151242669,17.382885168273294,12.149146610973794,-445.8709319363811,-107.65447254329838,36.89101650511155,25.633369868477246,-74.75106519257162,4.422644827617553
20,10,4,System - ASHP+PV+Batt Partial Control,System - ASHP+PV+Batt,48240.0,0.9332377579297972,0.10083741617230484,1459.5281948626869,168.34366707271573,19.502579063081345,9.900967838144652,-250.91164217267874,-192.25891466128533,20.76023546212624,13.928624980191989,-77.81409215563399,2.397212932560139
21,10,9,System - ASHP+PV+Batt Full Control,System - ASHP+PV+Batt,48520.0,0.7757310963240305,0.0,1219.14854652609,0.0,13.276255707762555,0.0,-10.531993836081938,-4606.914963601059,0.8714090347878295,0.0,-81.55850589111226,0.0
