,case,zones_controlled,name,retrofit_name,installation_cost,mean_emissions,std_emissions,mean_cost,std_cost,mean_comfort,std_comfort,bill_saving,payback,relative_emissions,relative_emissions_std,relative_cost,relative_cost_std
0,0,0,Baseline Manual Control,Baseline,0.0,4.172615918633997,0.7160606491270968,1609.272034019856,474.7568625061447,15.934771288952977,10.752391515984241,-0.0,,-0.0,17.160952819293176,0.0,29.501342996698526
1,0,1,Baseline One Zone Controlled,Baseline,60.0,3.9581261996951844,0.6420820164527323,1509.5934050896428,447.2263855695352,17.07149501099273,10.86820206730724,99.67862893021311,0.6019344431593971,-5.140413666662869,15.387997097584119,-6.194019831514901,27.790601968791627
2,0,4,Baseline Partial Control,Baseline,240.0,3.5250848619720676,0.3931559283741521,1351.49706168765,368.88189160472325,18.517567224759006,9.375869609727475,257.77497233220583,0.9310446154978209,-15.51858760280802,9.422288943930905,-16.018110479947932,22.92228310730539
3,0,9,Baseline Full Control,Baseline,520.0,2.9565446460526297,0.004770178934791861,1144.484035537727,287.9531316795007,11.78462709284627,0.569704204069294,464.78799848212884,1.118789645382795,-29.144098002182684,0.11432106447874288,-28.881878803369183,17.893378222711835
4,1,0,Fabric - Low cost Manual Control,Fabric - Low cost,3800.0,3.993792440171731,0.6844495877421419,1538.6915784752666,453.5312406559607,16.074561403508774,10.86027029338696,70.58045554458931,53.83926712685134,-4.285644352351692,16.40336903968416,-4.385862306218295,28.182385020577872
5,1,4,Fabric - Low cost Partial Control,Fabric - Low cost,4040.0,3.371558293710006,0.3781746476413601,1290.9301273229714,352.31685474460653,20.096820564857094,9.253805454586166,318.3419066968845,12.690757688546375,-19.197971741099906,9.063250848287144,-19.78173360172595,21.892933406948117
6,1,9,Fabric - Low cost Full Control,Fabric - Low cost,4320.0,2.822846922486351,0.004462272262439514,1091.095630615323,274.0710168074274,15.45376712328767,0.6039647661696803,518.176403404533,8.336929222590319,-32.34826838770064,0.1069418405492817,-32.19942883802947,17.030745020953105
7,2,0,Fabric - Shallow Manual Control,Fabric - Shallow,16000.0,3.2926038852884836,0.5596215427422806,1270.441075564484,375.5761631119072,15.63205960105744,10.816967216249783,338.83095845537196,47.22118685063245,-21.09017581550151,13.411767429710755,-21.054921187500813,23.33826445574541
8,2,4,Fabric - Shallow Partial Control,Fabric - Shallow,16240.0,2.7700664003731084,0.3114959925176099,1061.2085960535258,291.84152865363444,22.35075257906308,8.673509647488494,548.0634379663302,29.63160626124031,-33.613194830547585,7.465244791080253,-34.056606116326,18.135002813951438
9,2,9,Fabric - Shallow Full Control,Fabric - Shallow,16520.0,2.313216982497279,0.00043952782191538546,893.7147977784728,226.41183857876914,21.448820395738206,0.6235422302270438,715.5572362413832,23.086902295579904,-44.561948005639486,0.010533627596840381,-44.46465365174887,14.069208548489295
10,3,0,Fabric - Deep Manual Control,Fabric - Deep,51000.0,1.0768301463771415,0.22345592512815549,577.0983527244009,161.10589606943321,17.17325562765361,16.095442992345742,1032.173681295455,49.41028910560013,-74.19292435787699,5.355295802095032,-64.13916724303927,10.011103944123185
11,3,4,Fabric - Deep Partial Control,Fabric - Deep,51240.0,0.8922765283484728,0.12667085421993718,498.6818234555369,133.86184032638454,21.714971249788604,9.13403141606081,1110.590210564319,46.13762980493377,-78.61589598113356,3.035765972474309,-69.01196237096954,8.31816109996061
12,3,9,Fabric - Deep Full Control,Fabric - Deep,51520.0,0.7157559825573381,0.010732056160601189,433.80342522696844,111.85175649961722,25.62880517503805,0.5491478668090614,1175.4686087928876,43.829328673359406,-82.84634875304657,0.25720210941712024,-73.0434994173511,6.950456736653708
13,4,0,Fabric - Passivhaus Manual Control,Fabric - Passivhaus,71000.0,0.8575235137610451,0.1764846351155733,489.0379530183733,134.44506607463748,18.690919650724986,13.601664329288218,1120.2340810014825,63.379610747538074,-79.44877912363006,4.229592144520929,-69.61123149597096,8.354402688450536
14,4,4,Fabric - Passivhaus Partial Control,Fabric - Passivhaus,71240.0,0.6852251897457374,0.09540315442031072,416.668055665423,110.69457677714918,26.35231692880095,6.433034126435519,1192.603978354433,59.73483343422825,-83.57804305242496,2.2864111214804352,-74.1082895335841,6.878549706766568
15,4,9,Fabric - Passivhaus Full Control,Fabric - Passivhaus,71520.0,0.5448356439963965,0.008123632137266922,365.4920679091186,93.49852301887515,32.5076103500761,1.0473943270689754,1243.7799661107374,57.502132168635015,-86.9425881839908,0.1946891900830974,-77.28836019127584,5.809988680740444
16,5,0,System - ASHP Manual Control,System - ASHP,28000.0,1.488634573198378,0.2516168948886304,2635.068558405521,651.5164991155841,17.61320395738204,11.64391906464468,-1025.796524385665,-27.295861639586665,-64.32370958106976,6.030195440825598,63.742891363326095,40.48516878082686
17,5,4,System - ASHP Partial Control,System - ASHP,28240.0,1.3995038011738883,0.15982129395100628,2483.1931588256757,512.8276540153416,18.76913157449687,9.315505509122875,-873.9211248058198,-32.31412904256636,-66.4597981586561,3.8302421566595446,54.305369529278536,31.86705809671792
18,5,9,System - ASHP Full Control,System - ASHP,28520.0,1.1968237112852536,0.0661653136302382,2140.278653849664,372.69973098574894,12.295471841704718,0.8604295453211506,-531.006619829808,-53.70931158850882,-71.31718483983876,1.5857034273094313,32.99669717762933,23.159523256908248
19,10,0,System - ASHP+PV+Batt Manual Control,System - ASHP+PV+Batt,48000.0,1.1193791203341692,0.19690414575472634,2001.9445129934174,492.7485379494983,16.720740206681086,11.256110976317046,-392.6724789735615,-122.23927718456638,-73.1732049591417,4.718961668036474,24.400627779051838,30.61934387305823
20,10,4,System - ASHP+PV+Batt Partial Control,System - ASHP+PV+Batt,48240.0,0.9670827877514524,0.10950668807899595,1728.553873321648,337.8790952524327,19.055365296803654,9.451654792351789,-119.28183930179216,-404.4203231805398,-76.82310553835855,2.624413322826164,7.4121613238896575,20.995772505188754
21,10,9,System - ASHP+PV+Batt Full Control,System - ASHP+PV+Batt,48520.0,0.7955210081007457,0.02036365121881042,1432.134905097645,219.16115489806032,12.738774733637747,0.5530633596205329,177.13712892221088,273.91208322738134,-80.93471760609162,0.4880308088714989,-11.007283117928418,13.618651804357162
