filename,eval/mean_episode_reward,eval/mean_episode_emissions_reward,eval/mean_episode_comfort_reward,eval/mean_episode_air_quality_reward,eval/mean_episode_emissions,eval/mean_episode_ndt_t_violations,eval/mean_episode_ndt_aq_violations,eval/mean_episode_heating_degree_days,eval/mean_episode_heating_service_degree_days,eval/mean_episode_max_heating_service_degree_days,eval/mean_episode_heating_beyond_comfort_degree_days,eval/mean_episode_violation_degree_days,eval/mean_episode_violation_ppm_days,eval/mean_episode_cost,eval/mean_episode_gas_cost,eval/mean_episode_electricity_cost,eval/mean_episode_electricity_surplus,eval/mean_episode_cost_reward,eval/air_temp_bin_15_to_16,eval/air_temp_bin_16_to_17,eval/air_temp_bin_17_to_18,eval/air_temp_bin_18_to_19,eval/air_temp_bin_19_to_20,eval/air_temp_bin_20_to_21,eval/air_temp_bin_21_to_22,eval/air_temp_bin_22_to_23,eval/air_temp_bin_23_to_24,eval/air_temp_bin_24_to_25,eval/opr_temp_bin_15_to_16,eval/opr_temp_bin_16_to_17,eval/opr_temp_bin_17_to_18,eval/opr_temp_bin_18_to_19,eval/opr_temp_bin_19_to_20,eval/opr_temp_bin_20_to_21,eval/opr_temp_bin_21_to_22,eval/opr_temp_bin_22_to_23,eval/opr_temp_bin_23_to_24,eval/opr_temp_bin_24_to_25
case_7_year_2022_rep_0_zone_9_onoffseed_5_tempseed_42_comforttemp_18_setbacktemp_13_t_comfort_18_t_setback_13_tags_rbc-final-paper2.json,-9.718963791111568,-0.25069728448555756,-1.4003324138297504,-7.784529748830342,439.2216424186965,4725.555555555556,11559.444444444445,760.9655600975656,435.4560383326623,492.17149176954706,35.6997044050306,56.791259005317706,31570.592870256398,34314.12002372523,0.0,90213.4341864634,55899.31416273811,-0.5341016284514767,0.0,0.0,15.103201087628229,29.362872327277223,7.804968483500185,6.198244963539736,5.17859349894945,4.483376591274255,4.288715857125201,4.817080706958349,3.5811395377580024,23.226424422197503,13.292547274749722,7.95946112965023,6.328018786305773,5.7656655543196145,4.776912618959337,4.270176739587195,4.3227042392782105,4.764553207267334
case_14_year_2022_rep_0_zone_9_onoffseed_5_tempseed_42_comforttemp_21_setbacktemp_15_t_comfort_21_t_setback_15_tags_rbc-final-paper2.json,-2.1270326057741067,-0.08510153531911964,-1.1750535482308204,-0.7667158923483456,149.09788987909332,4099.555555555556,4517.111111111111,2982.8443126373686,642.719880085484,690.3725655864206,389.9018956276533,47.654949456027666,3109.458896746071,11902.495981721138,0.0,30164.241977958227,18261.745996239388,-0.18526316519494032,0.0,0.0030898529230008655,0.024718823384006924,0.1946607341490545,1.489309108886417,17.908787541713014,19.608206649363492,9.529106414534668,8.367321715486343,7.298232604128044,0.0,0.009269558769002595,0.48510690891113584,3.0311457174638488,12.532443455691508,17.862439747868,9.661970090223706,8.475466567791374,7.295142751205044,6.7420590779878875
case_3_year_2023_rep_0_zone_0_onoffseed_15_tempseed_10_comforttemp_20_setbacktemp_17_t_comfort_20_t_setback_17_tags_rbc-final-paper2.json,-1.452218547337476,-0.7093126253876961,-0.24718458845086305,-0.6564593690660667,1242.7157196791352,1137.4444444444443,4428.555555555556,3991.280783133421,628.3165018243503,638.3412101337458,1048.758956691894,10.024708309396116,2662.30744121238,35243.956045676874,34777.649561159014,14456.24692530504,13989.94044078736,-0.5485745898205459,0.0,0.03398838215300952,0.38623161537510814,1.7241379310344827,4.2361883574341865,7.638116425658138,26.065999258435298,10.873192436040044,7.1097515758249905,6.921270547521938,0.0,0.04943764676801385,0.5221851439871462,2.1536274873316033,5.57100482017056,18.40316400939315,17.967494747250033,8.098504511185267,6.7976764306019035,6.881102459522927
case_0_year_2023_rep_0_zone_0_onoffseed_5_tempseed_30_comforttemp_20_setbacktemp_17_t_comfort_20_t_setback_17_tags_rbc-final-paper2.json,-6.425997920606815,-1.6692957086791103,0.0,-5.051594639779746,2924.606081605818,0.0,9902.777777777777,2845.0193495275507,638.3412101337458,638.3412101337458,303.8163239201895,0.0,20487.02270577337,88300.49681001138,88300.49681001138,0.0,0.0,-1.3744032808270694,0.0,0.0,0.0,0.0,0.0,1.9126189593375353,57.211716722284024,9.424051415152638,7.795698924731182,6.433073785687801,0.0,0.0,0.0,0.0,4.443208503275244,43.90063032999629,13.255469039673711,8.5681621554814,7.461994809047089,5.985045111852676
case_2_year_2022_rep_0_zone_0_onoffseed_5_tempseed_10_comforttemp_20_setbacktemp_15_t_comfort_20_t_setback_15_tags_rbc-final-paper2.json,-9.26197336294524,-1.5899395362433855,0.0,-7.129347215198946,2785.5740674984027,0.0,11047.888888888889,2605.2451855258314,621.5516345164605,621.5516345164605,517.4492795308297,0.0,28913.46370608465,137013.60509173054,137013.60509173054,0.0,0.0,-2.132626147746295,0.0,0.0,0.0,0.0,0.0,0.0,3.1238413051538747,56.429983932764806,9.090347299468545,6.945989370905944,0.0,0.0,0.0,0.0,0.12977382276603633,7.820417748115188,40.59139784946236,13.539735508589793,8.14485230503028,6.562847608453838
case_0_year_2022_rep_0_zone_9_onoffseed_5_tempseed_42_comforttemp_19_setbacktemp_17_t_comfort_19_t_setback_17_tags_rbc-final-paper2.json,-8.148466426447369,-1.06083386274658,-0.9833966930914806,-5.648833002662591,1858.5809275320162,5227.222222222223,10752.222222222223,2242.7461355118094,515.5244776227905,555.378094135803,46.160509118268976,39.882199219821175,22909.156066353815,97412.78885862273,97412.78885862273,0.0,0.0,-1.5162367306932973,0.0,0.0,0.0,3.9920899765171183,47.8556420714374,7.712272895810161,5.642071437399579,4.885057471264368,4.730564825114325,4.9746632060313924,0.0,0.024718823384006924,12.813620071684587,31.85020393029292,9.810283030527748,6.695711284142875,5.274378939562477,4.529724385119268,4.817080706958349,4.919045853417377
case_13_year_2022_rep_0_zone_0_onoffseed_5_tempseed_10_comforttemp_20_setbacktemp_15_t_comfort_20_t_setback_15_tags_rbc-final-paper2.json,-1.2089381343972607,-0.2508401544556679,-7.635638199654205e-05,-0.6600237250152605,439.47195060632464,1.2222222222222223,4429.333333333333,3567.6115233145533,621.5485378409684,621.5516345164605,726.9172174577278,0.003096675492081983,2676.762884784112,35260.882612981724,0.0,90669.90299752158,55409.02038452243,-0.5488380530000038,0.0,0.0,0.0,0.0,0.0,0.17303176368804846,25.713756025213204,17.077617105425784,10.242862439747869,8.07378568780126,0.0,0.0,0.0,0.0,0.021628970461006057,5.274378939562477,27.79631689531578,12.588060808305524,9.53219626745767,7.579409220121123
case_13_year_2022_rep_0_zone_0_onoffseed_10_tempseed_15_comforttemp_20_setbacktemp_13_t_comfort_20_t_setback_13_tags_rbc-final-paper2.json,-1.2550406152773759,-0.2501624181246165,-0.08656742375729647,-0.6457271790149045,438.28455655432,430.6666666666667,4417.444444444444,3605.46627749288,618.0408445529699,621.5516345164605,785.1053123916076,3.5107899634903585,2618.782448227113,33584.562299562545,0.0,89555.78248649473,55971.220186914536,-0.5227460125051748,0.012359411692003462,0.04016808799901125,0.13904338153503892,0.4418489679891237,1.195773081201335,3.5347917439129897,5.744036583858608,21.696947225312073,17.948955629712028,9.513657149919663,0.015449264615004324,0.04943764676801385,0.1514027932270424,0.5685329378321592,1.538746755654431,4.384501297738227,12.087504634779386,23.884563094796686,10.901001112347053,8.209739216413299
case_6_year_2022_rep_0_zone_0_onoffseed_15_tempseed_15_comforttemp_20_setbacktemp_17_t_comfort_20_t_setback_17_tags_rbc-final-paper2.json,-8.126977388366761,-0.6373802957902069,-0.5689980527735009,-6.184756998053807,1116.6902782244379,1893.111111111111,10843.555555555555,1528.3936312875112,598.475602376202,621.5516345164605,291.9643101637428,23.07603214025864,25082.625603218214,88224.62542607757,0.0,219257.35731262292,131032.73188654563,-1.3732223375394537,0.0,0.16685205784204674,3.862316153751082,4.835619824496354,5.224941292794464,4.742924236806328,5.262019527870473,11.444815226795205,30.731677172166606,8.904956124088494,0.0,0.8620689655172413,3.636756890372018,5.008651588184403,5.413422321097515,5.988134964775677,19.005685329378323,20.420837968112718,9.21703126931158,6.970708194289951
case_4_year_2022_rep_0_zone_0_onoffseed_10_tempseed_30_comforttemp_20_setbacktemp_15_t_comfort_20_t_setback_15_tags_rbc-final-paper2.json,-1.7580265784220037,-0.4922984177177006,-0.22386760326185481,-0.7920651373950205,862.5068278413775,987.6666666666666,4522.777777777777,3886.270588718867,612.4725594952852,621.5516345164605,1043.3614562896187,9.079075021175226,3212.264168324254,47676.87582561382,37688.16597038934,23978.65029600949,13989.94044078736,-0.7420938377651282,0.04943764676801385,0.17303176368804846,0.503646026449141,1.3162773451983685,3.7541713014460516,18.18378445186009,15.059943146706217,9.634161413916697,8.78754171301446,7.536151279199111,0.06797676430601904,0.23173896922506484,0.7879124953652206,2.0269435174885673,8.982202447163514,18.74304783092325,11.274873316030156,9.281918180694598,8.169571128414288,7.057224076133976
