timestamp,temperature
2024-02-04T04:16:13.288627+00:00,17.9
2024-02-04T04:21:13.347163+00:00,18.1
2024-02-04T04:26:13.366848+00:00,18.1
2024-02-04T04:31:13.367062+00:00,18.2
2024-02-04T04:36:13.355381+00:00,18.1
2024-02-04T04:51:13.350018+00:00,18.0
2024-02-04T05:01:13.459422+00:00,17.9
2024-02-04T05:16:13.329743+00:00,17.8
2024-02-04T05:21:13.391624+00:00,18.0
2024-02-04T05:26:13.339675+00:00,18.2
2024-02-04T05:31:13.375682+00:00,18.2
2024-02-04T05:41:13.374801+00:00,18.2
2024-02-04T05:46:13.353336+00:00,18.1
2024-02-04T05:56:13.343392+00:00,18.0
2024-02-04T06:11:13.336152+00:00,17.8
2024-02-04T06:16:13.407083+00:00,17.9
2024-02-04T06:21:13.381536+00:00,18.1
2024-02-04T06:36:13.386443+00:00,18.1
2024-02-04T06:41:13.475700+00:00,18.1
2024-02-04T06:46:13.428589+00:00,17.9
2024-02-04T06:56:13.423258+00:00,17.8
2024-02-04T07:01:13.386297+00:00,17.9
2024-02-04T07:06:13.394331+00:00,18.0
2024-02-04T07:21:13.431111+00:00,17.9
2024-02-04T07:31:13.597550+00:00,17.9
2024-02-04T07:41:13.401655+00:00,17.9
2024-02-04T08:01:13.542651+00:00,17.9
2024-02-04T08:11:13.483227+00:00,18.0
2024-02-04T08:16:13.403664+00:00,18.0
2024-02-04T08:26:13.567708+00:00,18.0
2024-02-04T08:31:13.488280+00:00,18.0
2024-02-04T08:36:13.534109+00:00,18.1
2024-02-04T08:41:13.443786+00:00,18.1
2024-02-04T08:51:13.577515+00:00,18.1
2024-02-04T09:01:14.032785+00:00,18.0
2024-02-04T09:11:13.388429+00:00,18.0
2024-02-04T09:21:13.485375+00:00,18.0
2024-02-04T09:26:13.455657+00:00,18.0
2024-02-04T09:31:13.447526+00:00,18.0
2024-02-04T09:36:13.595317+00:00,17.7
2024-02-04T09:41:13.464147+00:00,17.6
2024-02-04T09:46:13.450645+00:00,18.4
2024-02-04T09:51:13.453039+00:00,19.2
2024-02-04T09:56:13.390453+00:00,19.7
2024-02-04T10:01:13.546647+00:00,19.9
2024-02-04T10:06:13.446725+00:00,20.0
2024-02-04T10:11:13.425909+00:00,20.1
2024-02-04T10:21:13.475801+00:00,19.9
2024-02-04T10:26:13.628527+00:00,19.8
2024-02-04T10:36:13.608975+00:00,19.6
2024-02-04T10:51:13.426959+00:00,19.4
2024-02-04T10:56:13.521177+00:00,19.1
2024-02-04T11:01:13.459546+00:00,19.0
2024-02-04T11:11:13.428652+00:00,18.7
2024-02-04T11:31:13.444169+00:00,18.7
2024-02-04T11:41:13.515160+00:00,18.5
2024-02-04T12:01:13.486392+00:00,18.3
2024-02-04T12:21:13.520832+00:00,18.2
2024-02-04T12:36:13.534876+00:00,18.1
2024-02-04T12:46:13.478548+00:00,18.0
2024-02-04T12:56:13.518874+00:00,18.0
2024-02-04T13:06:13.496635+00:00,18.1
2024-02-04T13:26:13.493350+00:00,18.3
2024-02-04T13:46:13.447874+00:00,18.5
2024-02-04T14:06:13.553327+00:00,18.6
2024-02-04T14:21:13.462924+00:00,18.6
2024-02-04T14:36:13.533788+00:00,18.7
2024-02-04T14:56:13.469930+00:00,18.7
2024-02-04T15:11:13.537330+00:00,18.7
2024-02-04T15:31:13.466264+00:00,18.6
2024-02-04T15:46:13.479528+00:00,18.6
2024-02-04T16:01:13.684367+00:00,18.6
2024-02-04T16:21:13.604430+00:00,18.5
2024-02-04T16:36:13.675897+00:00,18.4
2024-02-04T16:56:13.593020+00:00,18.4
2024-02-04T17:11:13.525899+00:00,18.3
2024-02-04T17:31:13.527081+00:00,18.3
2024-02-04T17:46:13.486269+00:00,18.3
2024-02-04T18:01:14.085080+00:00,18.5
2024-02-04T18:16:13.622227+00:00,18.7
2024-02-04T18:36:13.579398+00:00,18.8
2024-02-04T18:56:13.574394+00:00,18.8
2024-02-04T19:02:07.570498+00:00,18.8
2024-02-04T19:06:58.779212+00:00,18.6
2024-02-04T19:21:58.766319+00:00,18.6
2024-02-04T19:41:58.773921+00:00,18.8
2024-02-04T19:56:58.708945+00:00,18.9
2024-02-04T20:16:58.783180+00:00,18.9
2024-02-04T20:31:58.840246+00:00,18.9
2024-02-04T20:51:58.723963+00:00,18.8
2024-02-04T21:06:58.868659+00:00,18.8
2024-02-04T21:41:58.707535+00:00,18.8
2024-02-04T22:01:58.885807+00:00,18.8
2024-02-04T22:21:59.047235+00:00,18.6
2024-02-04T22:36:58.834533+00:00,18.5
2024-02-04T22:51:58.750832+00:00,18.5
2024-02-04T23:06:58.816247+00:00,18.6
2024-02-04T23:26:58.732060+00:00,18.5
2024-02-04T23:46:58.679797+00:00,18.6
2024-02-05T00:06:58.710046+00:00,18.6
2024-02-05T00:21:58.851134+00:00,18.6
2024-02-05T01:31:59.069217+00:00,18.6
2024-02-05T01:46:58.759162+00:00,18.7
