timestamp,temperature
2024-02-04T04:28:35.408221+00:00,12.6
2024-02-04T04:58:35.367428+00:00,12.5
2024-02-04T05:28:35.338372+00:00,13.2
2024-02-04T05:58:34.288816+00:00,13.2
2024-02-04T05:58:35.241424+00:00,13.7
2024-02-04T06:28:35.248766+00:00,13.9
2024-02-04T07:28:35.170801+00:00,14.1
2024-02-04T07:58:35.137569+00:00,14.3
2024-02-04T08:28:35.102377+00:00,14.6
2024-02-04T08:58:35.068765+00:00,15.1
2024-02-04T09:28:35.023939+00:00,17.9
2024-02-04T09:58:34.985376+00:00,18.5
2024-02-04T10:28:34.949948+00:00,17.9
2024-02-04T10:58:34.903723+00:00,18.7
2024-02-04T11:28:34.870660+00:00,18.6
2024-02-04T11:58:33.833042+00:00,18.6
2024-02-04T11:58:34.781134+00:00,17.9
2024-02-04T12:28:34.793750+00:00,18.1
2024-02-04T12:58:34.757409+00:00,17.9
2024-02-04T13:28:34.715182+00:00,17.5
2024-02-04T13:58:33.680484+00:00,17.5
2024-02-04T13:58:34.634704+00:00,17.4
2024-02-04T14:28:34.642926+00:00,17.2
2024-02-04T14:58:34.602124+00:00,17.6
2024-02-04T15:28:34.559367+00:00,16.4
2024-02-04T15:58:34.522837+00:00,15.7
2024-02-04T16:28:34.503072+00:00,15.5
2024-02-04T16:58:33.454593+00:00,15.5
2024-02-04T16:58:34.398619+00:00,16.2
2024-02-04T17:28:34.404798+00:00,16.1
2024-02-04T18:28:34.334586+00:00,17.0
2024-02-04T18:58:34.293927+00:00,16.9
2024-02-04T19:02:12.327182+00:00,
2024-02-04T19:02:16.365159+00:00,
2024-02-04T19:03:25.002373+00:00,16.9
2024-02-04T19:04:18.981530+00:00,
2024-02-04T19:04:33.858804+00:00,16.9
2024-02-04T19:28:34.449611+00:00,15.3
2024-02-04T19:58:34.169956+00:00,14.3
2024-02-04T20:28:34.181376+00:00,13.3
2024-02-04T20:58:34.089327+00:00,12.5
2024-02-04T21:28:34.099655+00:00,12.1
2024-02-04T21:58:34.065811+00:00,12.6
2024-02-04T22:28:34.026545+00:00,12.9
2024-02-04T22:58:33.992967+00:00,15.9
2024-02-04T23:28:33.948475+00:00,17.8
2024-02-04T23:53:33.928289+00:00,18.3
2024-02-04T23:58:33.918061+00:00,18.6
2024-02-05T00:03:33.910003+00:00,18.9
2024-02-05T00:28:33.873573+00:00,20.0
2024-02-05T00:58:33.839296+00:00,20.9
2024-02-05T01:28:33.800575+00:00,21.4
2024-02-05T01:58:33.763169+00:00,21.6
2024-02-05T01:59:00.668493+00:00,21.6
2024-02-05T02:28:33.719343+00:00,20.7
2024-02-05T02:58:33.691586+00:00,19.2
2024-02-05T03:28:33.646895+00:00,17.7
2024-02-05T03:58:33.611905+00:00,16.6
2024-02-05T04:28:33.576440+00:00,15.8
2024-02-05T04:58:33.532595+00:00,15.3
2024-02-05T05:28:33.497280+00:00,15.0
2024-02-05T05:58:32.453147+00:00,15.0
2024-02-05T05:58:33.413502+00:00,14.7
2024-02-05T06:28:33.414403+00:00,14.6
2024-02-05T06:58:33.377074+00:00,17.0
2024-02-05T07:28:33.341698+00:00,20.0
2024-02-05T07:58:33.311279+00:00,20.8
2024-02-05T08:28:33.271360+00:00,21.0
2024-02-05T08:58:33.228887+00:00,20.0
2024-02-05T09:28:33.189695+00:00,17.3
2024-02-05T09:58:33.153833+00:00,16.4
2024-02-05T10:28:33.126060+00:00,16.0
2024-02-05T10:58:33.085975+00:00,15.8
