timestamp,temperature
2024-02-04T04:16:13.461271+00:00,20.2
2024-02-04T04:31:13.522506+00:00,20.2
2024-02-04T04:51:13.502886+00:00,20.2
2024-02-04T05:06:13.547073+00:00,20.1
2024-02-04T05:26:13.509021+00:00,20.2
2024-02-04T05:41:13.553151+00:00,20.1
2024-02-04T06:01:13.536880+00:00,20.2
2024-02-04T06:16:13.545702+00:00,20.2
2024-02-04T06:31:13.651374+00:00,20.1
2024-02-04T06:51:13.496006+00:00,20.1
2024-02-04T07:06:13.559676+00:00,20.1
2024-02-04T07:26:13.727531+00:00,20.0
2024-02-04T07:41:13.586442+00:00,20.1
2024-02-04T08:01:13.709860+00:00,20.0
2024-02-04T08:16:13.572706+00:00,20.1
2024-02-04T08:51:13.760611+00:00,20.0
2024-02-04T09:06:13.529050+00:00,20.1
2024-02-04T09:26:13.615147+00:00,20.2
2024-02-04T09:41:13.652984+00:00,20.3
2024-02-04T09:46:13.620280+00:00,20.2
2024-02-04T09:56:13.553993+00:00,20.0
2024-02-04T10:16:13.628625+00:00,19.9
2024-02-04T10:31:13.600657+00:00,19.8
2024-02-04T10:51:13.616341+00:00,19.8
2024-02-04T10:56:13.719057+00:00,20.0
2024-02-04T11:05:09.404926+00:00,20.0
2024-02-04T11:06:13.782403+00:00,20.1
2024-02-04T11:11:13.588356+00:00,19.9
2024-02-04T11:16:13.571695+00:00,19.4
2024-02-04T11:21:13.767423+00:00,19.2
2024-02-04T11:26:13.633006+00:00,19.1
2024-02-04T11:31:13.610100+00:00,18.9
2024-02-04T11:36:13.644140+00:00,18.7
2024-02-04T11:41:13.670328+00:00,18.5
2024-02-04T11:51:13.588025+00:00,18.2
2024-02-04T12:06:13.780659+00:00,18.1
2024-02-04T12:16:13.578851+00:00,17.9
2024-02-04T12:31:13.632088+00:00,17.7
2024-02-04T12:46:13.637173+00:00,17.6
2024-02-04T13:01:13.629484+00:00,17.4
2024-02-04T13:11:13.782854+00:00,17.3
2024-02-04T13:26:13.638371+00:00,17.2
2024-02-04T13:46:13.621026+00:00,17.2
2024-02-04T14:06:13.714089+00:00,17.3
2024-02-04T14:21:13.647385+00:00,17.2
2024-02-04T14:36:13.687464+00:00,17.3
2024-02-04T14:51:13.624439+00:00,17.2
2024-02-04T15:11:13.700808+00:00,17.0
2024-02-04T15:31:13.644118+00:00,17.0
2024-02-04T16:06:13.675119+00:00,17.0
2024-02-04T16:26:13.699905+00:00,17.1
2024-02-04T16:31:13.811157+00:00,17.3
2024-02-04T16:50:24.879027+00:00,17.5
2024-02-04T16:51:13.704067+00:00,17.5
2024-02-04T17:06:13.663512+00:00,17.6
2024-02-04T17:16:13.674050+00:00,17.8
2024-02-04T17:31:13.685107+00:00,17.7
2024-02-04T17:36:13.810642+00:00,17.5
2024-02-04T17:51:13.651444+00:00,17.3
2024-02-04T18:06:13.770446+00:00,17.2
2024-02-04T18:26:13.676651+00:00,17.1
2024-02-04T18:41:13.762159+00:00,17.1
2024-02-04T18:56:13.807482+00:00,17.0
2024-02-04T19:02:07.571924+00:00,17.0
2024-02-04T19:16:58.897903+00:00,16.9
2024-02-04T19:21:58.942086+00:00,16.7
2024-02-04T19:41:58.940867+00:00,16.8
2024-02-04T19:56:58.886127+00:00,16.9
2024-02-04T20:11:59.090179+00:00,16.7
2024-02-04T20:21:58.959833+00:00,16.5
2024-02-04T20:31:59.020286+00:00,16.3
2024-02-04T20:36:58.986432+00:00,16.0
2024-02-04T20:56:59.082257+00:00,15.8
2024-02-04T21:11:58.890061+00:00,15.8
2024-02-04T21:31:58.935609+00:00,15.8
2024-02-04T21:46:58.880727+00:00,15.9
2024-02-04T21:51:58.839645+00:00,16.5
2024-02-04T21:56:58.868896+00:00,16.7
2024-02-04T22:01:59.078226+00:00,16.9
2024-02-04T22:11:58.891449+00:00,17.1
2024-02-04T22:26:58.877161+00:00,17.4
2024-02-04T22:36:58.987383+00:00,17.6
2024-02-04T22:51:58.901745+00:00,17.8
2024-02-04T23:01:58.892178+00:00,17.8
2024-02-04T23:21:58.885339+00:00,18.0
2024-02-04T23:36:58.863795+00:00,18.2
2024-02-04T23:56:59.211686+00:00,18.4
2024-02-05T00:16:58.876665+00:00,18.4
2024-02-05T00:36:58.850404+00:00,18.6
2024-02-05T00:51:58.955300+00:00,18.6
2024-02-05T01:06:58.949059+00:00,18.8
2024-02-05T01:16:58.916039+00:00,18.9
2024-02-05T01:36:58.884553+00:00,19.0
2024-02-05T01:51:58.884799+00:00,19.1
2024-02-05T02:26:58.877991+00:00,19.2
2024-02-05T02:46:58.936443+00:00,19.2
2024-02-05T02:51:58.929197+00:00,19.2
2024-02-05T03:06:59.241656+00:00,19.3
2024-02-05T03:21:58.886105+00:00,19.1
2024-02-05T03:36:58.927953+00:00,19.1
2024-02-05T03:56:59.092516+00:00,19.0
2024-02-05T04:11:59.064206+00:00,19.0
2024-02-05T04:21:58.976563+00:00,18.9
2024-02-05T04:41:59.279383+00:00,18.9
2024-02-05T04:56:58.981596+00:00,18.9
2024-02-05T05:06:58.966964+00:00,18.6
2024-02-05T05:26:59.004053+00:00,18.4
2024-02-05T05:46:58.954727+00:00,18.3
2024-02-05T06:01:59.007097+00:00,18.2
2024-02-05T06:16:59.081748+00:00,18.1
2024-02-05T06:31:59.768414+00:00,18.1
2024-02-05T06:51:58.961258+00:00,18.2
2024-02-05T07:01:59.581236+00:00,18.0
2024-02-05T07:06:59.025867+00:00,17.4
2024-02-05T07:11:59.112737+00:00,16.8
2024-02-05T07:16:59.046237+00:00,16.2
2024-02-05T07:21:59.052186+00:00,17.1
2024-02-05T07:26:59.001824+00:00,17.6
2024-02-05T07:31:59.070583+00:00,17.8
2024-02-05T07:36:59.012989+00:00,17.7
2024-02-05T07:41:58.994764+00:00,17.5
