timestamp,temperature
2024-02-04T04:28:28.385899+00:00,17.5
2024-02-04T05:28:28.314510+00:00,17.4
2024-02-04T05:58:27.276420+00:00,17.4
2024-02-04T06:28:28.248138+00:00,17.5
2024-02-04T06:58:28.211039+00:00,17.8
2024-02-04T07:28:28.174989+00:00,17.9
2024-02-04T07:58:28.148132+00:00,18.3
2024-02-04T08:28:28.110197+00:00,18.6
2024-02-04T08:58:28.075631+00:00,19.2
2024-02-04T09:28:28.041373+00:00,22.3
2024-02-04T09:58:28.005968+00:00,21.3
2024-02-04T10:28:27.973597+00:00,22.2
2024-02-04T10:58:27.936870+00:00,20.9
2024-02-04T11:28:27.902364+00:00,22.0
2024-02-04T11:58:26.874296+00:00,22.0
2024-02-04T11:58:27.815763+00:00,21.1
2024-02-04T12:28:27.835853+00:00,19.7
2024-02-04T12:58:27.796726+00:00,19.0
2024-02-04T13:28:27.781860+00:00,18.9
2024-02-04T13:58:26.739002+00:00,18.9
2024-02-04T13:58:27.683837+00:00,19.0
2024-02-04T15:28:27.629749+00:00,18.8
2024-02-04T15:58:27.589092+00:00,19.1
2024-02-04T16:28:27.559026+00:00,19.6
2024-02-04T16:58:26.519299+00:00,19.6
2024-02-04T16:58:27.474514+00:00,20.5
2024-02-04T17:28:27.485762+00:00,19.8
2024-02-04T17:58:27.452146+00:00,19.3
2024-02-04T18:28:27.418198+00:00,19.2
2024-02-04T18:58:27.383164+00:00,19.1
2024-02-04T19:02:12.330553+00:00,
2024-02-04T19:02:16.364774+00:00,
2024-02-04T19:03:25.015596+00:00,19.1
2024-02-04T19:04:18.981239+00:00,
2024-02-04T19:04:33.858454+00:00,19.1
2024-02-04T19:28:27.343113+00:00,18.9
2024-02-04T19:58:27.319391+00:00,19.0
2024-02-04T20:58:27.245809+00:00,18.8
2024-02-04T21:28:27.215327+00:00,18.7
2024-02-04T22:28:27.139641+00:00,18.6
2024-02-05T01:58:26.902723+00:00,18.7
2024-02-05T02:58:26.835656+00:00,18.6
2024-02-05T03:28:26.796246+00:00,18.5
2024-02-05T03:58:26.776437+00:00,18.2
2024-02-05T04:28:26.730803+00:00,18.0
2024-02-05T04:58:26.695971+00:00,17.9
2024-02-05T05:28:26.675419+00:00,17.8
2024-02-05T05:58:25.621429+00:00,17.8
2024-02-05T05:58:26.578172+00:00,17.7
2024-02-05T06:28:26.597116+00:00,17.6
2024-02-05T06:29:40.244984+00:00,17.6
2024-02-05T06:29:40.796943+00:00,17.6
2024-02-05T06:29:40.915432+00:00,17.6
2024-02-05T06:29:41.039438+00:00,17.6
2024-02-05T06:29:41.206289+00:00,17.6
2024-02-05T06:29:41.324095+00:00,17.6
2024-02-05T06:29:41.437999+00:00,17.6
2024-02-05T06:29:41.556237+00:00,17.6
2024-02-05T06:29:41.675902+00:00,17.6
2024-02-05T06:29:42.093891+00:00,17.6
2024-02-05T06:29:42.215015+00:00,17.6
2024-02-05T06:29:42.333746+00:00,17.6
2024-02-05T06:29:42.457714+00:00,17.6
2024-02-05T06:58:26.559339+00:00,21.8
2024-02-05T07:28:26.523839+00:00,25.8
2024-02-05T07:58:26.493312+00:00,27.4
2024-02-05T08:28:26.488141+00:00,26.6
2024-02-05T08:58:26.432238+00:00,26.5
2024-02-05T09:28:26.391176+00:00,26.4
2024-02-05T09:58:26.357582+00:00,26.6
2024-02-05T10:28:26.325974+00:00,25.9
