,cambridge,newcastle,southampton,manchester,london
manual,"{'case_0': [2361.5910508460784, 2285.673182843778, 2122.6120596885203, 2395.8118010242506, 2111.635406456405], 'case_1': [2463.461868785403, 2214.601181225188, 2437.354859139966, 2122.3974979687982, 1915.052773779372], 'case_2': [1571.8894046554449, 1371.385463961835, 1720.357617455567, 1740.4677040052106, 1443.3581503592302], 'case_3': [701.4776257213564, 705.2006874627335, 703.2707187234246, 745.5026843616354, 713.534059513162], 'case_4': [304.245752048407, 305.1125187335989, 289.028535624366, 313.06117706101537, 318.0607905030711]}","{'case_0': [2301.315162623988, 2482.8001656846955, 2923.630527645453, 2215.665469096003, 2308.159756913488], 'case_1': [2000.560283673878, 2297.029885640949, 2378.796252311925, 2373.177064931184, 2086.214305512991], 'case_2': [1569.0773863244558, 1783.0444453210637, 1570.8170603555177, 1889.127460728828, 1674.300442684425], 'case_3': [764.6001313176475, 768.7116754981403, 766.4767151648907, 812.1683561900993, 777.8319624858786], 'case_4': [325.4320290615912, 339.9706281393907, 336.4405773412509, 321.91121749142786, 327.2560249205401]}","{'case_0': [1963.929934781112, 1957.502267053689, 2468.358917717607, 2222.730910440444, 2195.806951701944], 'case_1': [1768.7224643010222, 2248.649689037104, 2042.6356845802247, 1767.9801479364, 1765.6787953695855], 'case_2': [1315.1827932690553, 1503.3973655709776, 1740.5123990035042, 1722.54411377834, 1479.9550502249765], 'case_3': [637.0222810171529, 629.1185493882136, 661.5944797340126, 625.3766802840789, 627.276971902169], 'case_4': [270.2048272955828, 265.4379561156177, 258.5230091600064, 256.46299495810035, 269.5486439614998]}","{'case_0': [2661.400132707966, 2037.907946992037, 2658.7171514093616, 3008.8551023430086, 3052.867114143128], 'case_1': [2477.247152685411, 2493.945204211544, 2471.095479164204, 2745.6772316616566, 2149.807627504591], 'case_2': [1825.410618158889, 1620.8039548630732, 1939.373591250385, 1627.463386883419, 2150.923421860823], 'case_3': [799.0581399561748, 803.1069523670433, 800.952809403195, 850.1528954070401, 779.3242235296127], 'case_4': [362.56743503007687, 364.5157057518816, 333.1557749965564, 358.71926407633896, 336.5981399677861]}","{'case_0': [2328.4246121280144, 2202.184020871546, 2263.182551414534, 2300.9981188217416, 2033.95722393953], 'case_1': [2082.914085965665, 1839.9491727676748, 1849.6499724840012, 2137.9804295401987, 2124.1004334045942], 'case_2': [1833.3754661680025, 1679.5665934126027, 1658.228240689263, 1651.385985479242, 1622.364889314975], 'case_3': [735.7023076212324, 726.2690938015736, 658.2950758601429, 659.6377705143243, 685.6549927053277], 'case_4': [299.8282133278743, 318.77728339528915, 296.5000341798206, 286.84461314778827, 308.8808318022556]}"
eco,"{'case_0': [1791.2112162487335, 1797.6764578574223, 1730.366520946211, 1746.3749336196506, 1647.4567728009688], 'case_1': [1490.94137020121, 1575.0692672586033, 1612.305903019626, 1558.718906949961, 1618.0050753589194], 'case_2': [1226.7118476496753, 1182.9935347170886, 1221.0514515226057, 1196.6447208815864, 1143.6470918930515], 'case_3': [587.1077204183808, 602.470116528174, 599.1982827709716, 611.8741274325449, 609.9465414380181], 'case_4': [265.085290180072, 263.45269303159426, 267.2261359205733, 266.4910716463089, 263.8404709295266]}","{'case_0': [1887.8567383914456, 1778.7264041762005, 1930.4363757119063, 1943.5052278978671, 1863.474004087487], 'case_1': [1735.67938472926, 1677.251520057921, 1747.333495733939, 1608.6433944044422, 1701.0123029162446], 'case_2': [1298.5177325621494, 1238.005823438902, 1322.1574338126995, 1278.6629907571607, 1319.8991180053852], 'case_3': [650.2137496054255, 665.8582398436866, 662.2331154824194, 637.5439168848542, 656.3189481642823], 'case_4': [285.15172993163503, 284.5829178237482, 281.841249226051, 283.5750656354113, 282.11480983753387]}","{'case_0': [1520.5559587684495, 1612.0040970039254, 1594.3484725943183, 1658.1924665538068, 1648.5011431750045], 'case_1': [1489.58816207459, 1433.0799613252816, 1480.97870154948, 1237.9369508136342, 1373.107580739069], 'case_2': [1045.3003636235408, 1093.8308233519765, 1111.7825129891903, 1078.776227824775, 1118.6167552568663], 'case_3': [544.8193093615209, 547.5719479815598, 536.2021803590434, 540.0721035539377, 526.3511186066571], 'case_4': [234.2912670809, 237.1333260646467, 237.46685795445967, 235.40958585371672, 236.4533249389558]}","{'case_0': [2003.1602553866155, 2015.368764313746, 1936.5386761112056, 1959.215353512759, 1848.269265884096], 'case_1': [1670.93156332409, 1766.4995941781713, 1801.8975328346148, 1513.469646132576, 1813.1369712959488], 'case_2': [1382.4049462416035, 1331.5465273245125, 1373.4956378614313, 1201.7923387897083, 1287.843819933876], 'case_3': [665.7326961800027, 685.7408025777169, 679.1556010731825, 696.2838578443941, 692.7047213190606], 'case_4': [303.88346132741503, 300.471310861029, 305.22638768417625, 305.3026463467485, 301.6144953458403]}","{'case_0': [1571.98430465058, 1671.6965569114438, 1660.9807025160549, 1723.6145681312207, 1708.089677383254], 'case_1': [1554.5081363517347, 1499.0053505108867, 1540.553145411979, 1510.9676100203496, 1425.415706170998], 'case_2': [1100.6386059004703, 1171.974900959267, 1154.445236374722, 992.2439885899132, 1183.4451618515563], 'case_3': [595.8105083233411, 579.7083733681955, 601.8623756654764, 604.1381089524644, 590.5787413937783], 'case_4': [263.8135250713822, 264.4394717526946, 262.27257730316137, 265.2904692043866, 265.7728609333251]}"
