timestep,year,month,day,hour,Zone Operative Temperature(hall_downstairs),Zone Air Temperature(hall_downstairs),Zone Operative Temperature(front_room),Zone Air Temperature(front_room),Zone Operative Temperature(kitchen),Zone Air Temperature(kitchen),Zone Operative Temperature(backroom),Zone Air Temperature(backroom),Zone Operative Temperature(bedroom_3),Zone Air Temperature(bedroom_3),Zone Operative Temperature(bedroom_1),Zone Air Temperature(bedroom_1),Zone Operative Temperature(hall_upstairs),Zone Air Temperature(hall_upstairs),Zone Operative Temperature(bathroom),Zone Air Temperature(bathroom),Zone Operative Temperature(bedroom_2),Zone Air Temperature(bedroom_2),Zone People Occupant Count(front_room),Zone People Occupant Count(kitchen),Zone People Occupant Count(backroom),Zone People Occupant Count(bedroom_3),Zone People Occupant Count(bedroom_1),Zone People Occupant Count(hall_upstairs),Zone People Occupant Count(bathroom),Zone People Occupant Count(bedroom_2)
40452,2022.0,10.0,8.0,22.0,19.783735,19.511208,20.232668,20.45423,19.61621,19.339085,19.340101,19.080452,20.15808,20.488943,19.439001,19.259392,20.22577,20.596928,18.451397,18.112709,20.090965,20.61907,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
40453,2022.0,10.0,8.0,22.0,19.609053,19.307447,20.237259,20.42359,19.530962,19.243015,19.248081,18.968948,19.588476,19.365257,19.328365,19.142328,20.104866,20.248596,18.419357,18.076014,19.334538,19.09933,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40454,2022.0,10.0,8.0,22.0,19.535997,19.226532,20.21359,20.394382,19.468521,19.175295,19.81045,20.067938,19.285807,19.00298,19.248095,19.058216,19.642565,19.360027,18.387478,18.039324,18.950827,18.63543,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
40455,2022.0,10.0,8.0,22.0,19.47852,19.165272,19.866175,19.720001,19.41566,19.11879,20.19696,20.60845,19.170813,18.875935,19.180307,18.990215,20.164433,20.515812,18.35615,18.003057,18.811508,18.476183,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
40456,2022.0,10.0,8.0,22.0,20.074503,20.327724,19.645283,19.424397,19.36857,19.068174,19.640062,19.463982,19.69163,19.924166,19.120916,18.930374,20.380266,20.741129,19.33257,19.865326,18.720535,18.382391,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0
40457,2022.0,10.0,8.0,22.0,20.294071,20.603395,19.964771,20.079403,19.330267,19.024876,19.393045,19.101631,20.121437,20.59388,19.072653,18.87889,20.421656,20.779343,19.543108,20.048264,18.656914,18.314594,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
40458,2022.0,10.0,8.0,23.0,20.129667,20.272604,20.244932,20.509895,19.291565,18.98289,19.287933,18.983854,19.459558,19.229284,19.023056,18.828032,20.09166,20.186895,19.74524,20.257275,18.59226,18.248062,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
40459,2022.0,10.0,8.0,23.0,19.72637,19.477282,19.840836,19.697498,19.257814,18.94823,19.219471,18.913208,19.1335,18.838533,18.979193,18.785692,19.643524,19.339447,18.954954,18.655157,18.535927,18.19273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40460,2022.0,10.0,8.0,23.0,19.545052,19.223711,19.64359,19.408497,19.231632,18.921192,19.174612,18.867226,19.65516,19.884283,19.266232,19.354479,20.21117,20.534784,18.679863,18.296793,18.493113,18.15047,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0
40461,2022.0,10.0,8.0,23.0,19.469572,19.140556,19.564236,19.319424,19.206507,18.895891,19.135822,18.828604,19.845112,20.11291,19.375664,19.479578,19.668772,19.398413,18.58243,18.191477,18.453228,18.111696,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
40462,2022.0,10.0,8.0,23.0,19.41695,19.086685,19.509245,19.26253,19.182318,18.87147,19.101458,18.794125,19.302803,19.04689,19.103731,18.946041,19.436487,19.087463,18.514517,18.12357,18.416431,18.075634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40463,2022.0,10.0,8.0,23.0,19.374063,19.043549,19.464615,19.217373,19.158892,18.848051,19.070263,18.762999,19.7161,19.95014,18.983383,18.792562,19.348997,18.994095,18.46088,18.07085,18.382113,18.041988,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
