,year,case,rep,zones_controlled,onoffseed,tempseed,comforttemp,setbacktemp,cost,cumulative_emissions,comfort_violation (%),mean_comfort_violation,std_comfort_violation,building_cost,sensing_cost,control_names,retrofit_name,installation_cost,name
4849,2023,4,0,9,5,15,19,17,273.05505487104483,0.517142495327904,28.39611872146119,0.4019568691286785,1.0165695789963192,71000.0,520,Full Control,Fabric - Passivhaus,71520.0,Fabric - Passivhaus Full Control
4850,2023,5,0,4,10,15,20,17,2126.7939743246943,1.3585639259088635,32.423896499238964,0.5885080606793094,1.698457882686659,28000.0,240,Partial Control,System - ASHP,28240.0,System - ASHP Partial Control
4851,2023,5,0,9,10,42,19,15,1416.44223742414,0.9142026565018992,39.73744292237443,0.0074928350432293,0.0259006916083154,28000.0,520,Full Control,System - ASHP,28520.0,System - ASHP Full Control
4852,2023,10,0,1,5,10,21,13,1734.7469052633448,1.1009726325989493,7.695966514459665,0.0105928673654645,0.0689534099872664,48000.0,60,One Zone Controlled,System - ASHP+PV+Batt,48060.0,System - ASHP+PV+Batt One Zone Controlled
4853,2023,0,0,1,5,10,20,13,1206.9896648601593,4.212471838234317,5.234018264840183,0.0066507709331807,0.0456267906758952,0.0,60,One Zone Controlled,Baseline,60.0,Baseline One Zone Controlled
4854,2022,0,0,4,15,30,20,17,1574.1326062072012,3.2446110082537825,36.394596651445966,0.9744420632642709,2.2976554557525777,0.0,240,Partial Control,Baseline,240.0,Baseline Partial Control
4855,2022,3,0,4,10,10,18,13,557.1707603118099,0.7706484143414095,10.18455098934551,0.1330518133222057,0.8731721602932989,51000.0,240,Partial Control,Fabric - Deep,51240.0,Fabric - Deep Partial Control
4856,2023,14,0,9,5,42,21,15,88.57806976659998,0.05780989485854539,37.58561643835616,1.9241848262677448,3.973876199202673,,520,Full Control,,,
4857,2022,1,0,9,10,15,20,17,1408.277130087805,2.888746184952206,42.25076103500761,0.0113606745060975,0.034253067587776,3800.0,520,Full Control,Fabric - Low cost,4320.0,Fabric - Low cost Full Control
4858,2022,10,0,9,5,15,18,13,1048.4944268987142,0.5084490039566794,37.990867579908674,0.0111894291075849,0.0399372192491819,48000.0,520,Full Control,System - ASHP+PV+Batt,48520.0,System - ASHP+PV+Batt Full Control
4859,2023,14,0,0,15,15,21,15,170.74005591728366,0.110773837446349,20.260654490106543,0.6932600478031434,2.269172654035104,,0,Manual Control,,,
4860,2023,14,0,4,5,42,21,15,127.03876803616677,0.08267509614221029,39.78691019786911,1.4176588743322027,2.834266311307837,,240,Partial Control,,,
4861,2022,10,0,4,10,42,20,17,1800.9755101888063,0.8984837654525316,46.55251141552512,0.7919381325398867,2.014660465899576,48000.0,240,Partial Control,System - ASHP+PV+Batt,48240.0,System - ASHP+PV+Batt Partial Control
4862,2023,2,0,0,15,42,18,15,678.1750384222387,2.321166117318114,17.667427701674278,0.6911954332290035,2.0967797479468526,16000.0,0,Manual Control,Fabric - Shallow,16000.0,Fabric - Shallow Manual Control
4863,2023,3,0,9,5,30,20,17,329.52507791581587,0.7107155550865102,28.051750380517504,0.3775143516824779,1.022097913532164,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
4864,2022,1,0,0,10,15,19,15,1893.3364272597494,3.99332633209368,13.793759512937594,0.5773064674177456,2.047150175135311,3800.0,0,Manual Control,Fabric - Low cost,3800.0,Fabric - Low cost Manual Control
4865,2022,0,0,4,10,10,20,15,1503.2725377650218,3.109186613526639,37.89954337899543,0.9000718169874077,2.544835289004172,0.0,240,Partial Control,Baseline,240.0,Baseline Partial Control
