,case,zones_controlled,name,retrofit_name,installation_cost,mean_emissions,std_emissions,mean_cost,std_cost,mean_comfort,std_comfort,bill_saving,payback,relative_emissions,relative_emissions_std,relative_cost,relative_cost_std
0,0,0,Baseline Manual Control,Baseline,0.0,3.7951202515554936,0.5977772530096452,1812.3693198562055,275.73182689330065,16.646808409436833,14.887539263403653,-0.0,,-0.0,15.751207165692213,0.0,15.213887361278958
1,0,1,Baseline One Zone Controlled,Baseline,60.0,3.5813240077963013,0.5294315744306228,1716.0554945047086,244.9266358232114,20.66528464823271,15.118851779881872,96.31382535149692,0.6229635234716329,-5.633451105312526,13.950324082975406,-5.3142493804264195,13.514168063860406
2,0,4,Baseline Partial Control,Baseline,240.0,3.1376160746627817,0.3872545718903844,1516.1676374366473,181.24832036128007,33.677049738693576,11.498899047434405,296.2016824195582,0.8102587333047261,-17.324989283889558,10.204013212273356,-16.343340133514236,10.000628369479374
3,0,9,Baseline Full Control,Baseline,520.0,2.5558007049321456,0.38031455824811145,1255.4182552067532,177.040724893048,41.69790081177067,5.6438841496246415,556.9510646494523,0.9336547373821622,-32.655606791784585,10.02114644699949,-30.73055025526702,9.768468432642335
4,1,0,Fabric - Low cost Manual Control,Fabric - Low cost,3800.0,3.630851193564575,0.569863553550707,1731.745457077207,262.47167069588767,16.677124337374693,14.887673843306324,80.6238627789985,47.132447752055015,-4.3284282737441675,15.01569161918226,-4.448533855417241,14.482239785250412
5,1,1,Fabric - Low cost One Zone Controlled,Fabric - Low cost,3860.0,3.432422100960115,0.506937388895936,1642.4756239325293,234.20831385841885,20.995846017250127,15.108899367787519,169.8936959236762,22.7200896361339,-9.556960690421356,13.35761070253727,-9.37412116075523,12.922769729792218
6,1,4,Fabric - Low cost Partial Control,Fabric - Low cost,4040.0,3.006029300042489,0.3695575366893497,1450.5709815067703,172.82205467506043,34.30652006172839,11.407422448931467,361.7983383494352,11.166441555345266,-20.792251607563227,9.737702949936313,-19.962726933500534,9.535697431071732
7,1,9,Fabric - Low cost Full Control,Fabric - Low cost,4320.0,2.439406499620607,0.3601204876414198,1196.5377255838798,167.43315505250845,42.83961187214612,5.75985422990972,615.8315942723257,7.014904789197388,-35.72255059320517,9.489040235123468,-33.9793654375691,9.238357393171537
8,2,0,Fabric - Shallow Manual Control,Fabric - Shallow,16000.0,3.031519528737512,0.49095033807662436,1444.0863578322883,227.0281798747545,15.17235089205856,14.454134099168202,368.2829620239172,43.44485531470478,-20.120593609781068,12.936357889460817,-20.320525071188968,12.526595842660097
9,2,1,Fabric - Shallow One Zone Controlled,Fabric - Shallow,16060.0,2.8172350994889612,0.432843408224919,1345.9841317503892,199.34701234799468,20.963957857686456,15.034910614456791,466.38518810581627,34.43505584992165,-25.766908220252827,11.405262008430718,-25.73345195132853,10.999248892814572
10,2,4,Fabric - Shallow Partial Control,Fabric - Shallow,16240.0,2.413471951800709,0.28480392159679085,1163.2321803483846,130.67712785548088,34.980914043098615,10.349139744653957,649.1371395078208,25.01782599022643,-36.40591623383984,7.504476873428693,-35.81704525650014,7.210292429020421
11,2,9,Fabric - Shallow Full Control,Fabric - Shallow,16520.0,1.8795645728278438,0.22027253662123727,922.8242675950214,96.93461566605721,44.5249539373548,4.790578401424784,889.5450522611841,18.571290973972474,-50.47417609343281,5.80409900136774,-49.08188648502178,5.348502350158304
12,3,0,Fabric - Deep Manual Control,Fabric - Deep,51000.0,1.0449291548895157,0.1885084624737415,689.3140207675083,82.59426903185387,12.576444654385137,15.714034891269893,1123.0552990886972,45.4118332742688,-72.46650736663129,4.967127521097076,-61.96613939469032,4.5572537631792915
