timestep,year,month,day,hour,Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Diffuse Solar Radiation Rate per Area(Environment),Site Direct Solar Radiation Rate per Area(Environment),Site Rain Status(Environment),Environmental Impact Total CO2 Emissions Carbon Equivalent Mass(Site),Facility Net Purchased Electricity Rate(Whole Building),Zone Operative Temperature(Living),Zone Air Temperature(Living),Zone Operative Temperature(Bedroom),Zone Air Temperature(Bedroom),Zone Air Relative Humidity(Living),Zone Air Relative Humidity(Bedroom),Zone Air CO2 Concentration(Living),Zone Air CO2 Concentration(Bedroom),Zone People Occupant Count(Living),Zone People Occupant Count(Bedroom),Schedule Value(Living-Thermostat Dual SP Control-HEATING-EXT),Schedule Value(Bedroom-Thermostat Dual SP Control-HEATING-EXT),Zone Ventilation Air Change Rate(Living),Zone Ventilation Air Change Rate(Bedroom),Schedule Value(Living-Ventilation-EXT),Schedule Value(Bedroom-Ventilation-EXT),Schedule Value(1 Hour Temperature Forecast Schedule),Living-Ventilation-EXT,Bedroom-Ventilation-EXT,Living-Thermostat Dual SP Control-HEATING-EXT,Bedroom-Thermostat Dual SP Control-HEATING-EXT,time (seconds),reward,emissions,reward_emissions,abs_comfort,reward_comfort,abs_air_quality,reward_air_quality,done
0,2022.0,1.0,1.0,0.0,12.39,90.0,5.93,0.0,0.0,0.0,0.0,0.0,20.032984,20.338692,20.018091,20.21655,55.40036,54.57051,505.87848,585.20874,1.0,2.0,20.0,20.0,0.0,0.0,0.0,0.0,12.53,,,,,0,,,,,False
1,2022.0,1.0,1.0,0.0,12.348333,90.166664,5.8,0.0,0.0,0.0,0.0,0.0,19.347473,19.007515,19.61964,19.437277,59.880444,57.35084,483.32724,565.1464,0.0,2.0,12.0,12.0,2.0360599,2.038919,1.0,1.0,12.66,1.0,1.0,12.0,12.0,600,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
2,2022.0,1.0,1.0,0.0,12.306666,90.333336,5.67,0.0,0.0,0.0,0.0,0.0,19.2357,19.027674,19.631933,19.575052,59.480568,56.897213,461.13983,573.1938,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.68,0.0,0.0,12.0,12.0,1200,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
3,2022.0,1.0,1.0,0.0,12.265,90.5,5.54,0.0,0.0,0.0,0.0,0.0,19.171177,18.96987,19.479204,19.2996,59.601364,57.83175,453.82187,546.72516,0.0,2.0,12.0,12.0,0.0,2.0495417,0.0,1.0,12.71,0.0,1.0,12.0,12.0,1800,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
4,2022.0,1.0,1.0,0.0,12.223333,90.666664,5.41,0.0,0.0,0.0,0.0,0.0,19.094454,18.895563,19.528872,19.473309,59.79216,57.220634,447.8457,568.2279,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.73,0.0,0.0,12.0,12.0,2400,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
5,2022.0,1.0,1.0,0.0,12.181666,90.833336,5.28,0.0,0.0,0.0,0.0,0.0,19.024483,18.82755,19.38501,19.206497,59.96673,58.102203,442.9607,544.1998,0.0,2.0,12.0,12.0,0.0,2.0495052,0.0,1.0,12.75,0.0,1.0,12.0,12.0,3000,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
6,2022.0,1.0,1.0,1.0,12.14,91.0,5.15,0.0,0.0,0.0,0.0,0.0,18.960154,18.765106,19.442919,19.388489,60.126343,57.451515,438.9609,566.56793,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.78,0.0,0.0,12.0,12.0,3600,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
7,2022.0,1.0,1.0,1.0,12.226666,91.0,5.2066665,0.0,0.0,0.0,0.0,0.0,18.904139,18.713814,19.308107,19.133463,60.26528,58.407993,435.66446,543.43585,0.0,2.0,12.0,12.0,0.0,2.0485618,0.0,1.0,12.8,0.0,1.0,12.0,12.0,4200,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
8,2022.0,1.0,1.0,1.0,12.3133335,91.0,5.2633333,0.0,0.0,0.0,0.0,0.0,18.853418,18.667803,19.37114,19.319418,60.453876,57.804543,432.94562,565.9815,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,12.0,12.0,4800,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
9,2022.0,1.0,1.0,1.0,12.4,91.0,5.32,0.0,0.0,0.0,0.0,0.0,18.806856,18.625885,19.24548,19.0776,60.685104,58.95682,430.702,543.1528,0.0,2.0,12.0,12.0,0.0,2.0467792,0.0,1.0,12.79,0.0,1.0,12.0,12.0,5400,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
10,2022.0,1.0,1.0,1.0,12.486667,91.0,5.3766665,0.0,0.0,0.0,0.0,0.0,18.763912,18.58749,19.310188,19.261086,60.951565,58.416183,428.84973,565.77203,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.79,0.0,0.0,12.0,12.0,6000,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
11,2022.0,1.0,1.0,1.0,12.573334,91.0,5.4333334,0.0,0.0,0.0,0.0,0.0,18.724117,18.552166,19.192146,19.030792,61.247074,59.65151,427.31992,543.0775,0.0,2.0,12.0,12.0,0.0,2.0451384,0.0,1.0,12.79,0.0,1.0,12.0,12.0,6600,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
12,2022.0,1.0,1.0,2.0,12.66,91.0,5.49,0.0,0.0,0.0,0.0,0.0,18.687136,18.519556,19.257729,19.211178,61.566418,59.144054,426.05597,565.72406,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.78,0.0,0.0,12.0,12.0,7200,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
13,2022.0,1.0,1.0,2.0,12.683333,91.166664,5.5916667,0.0,0.0,0.0,0.0,0.0,18.648157,18.482191,19.142061,18.984812,61.90915,60.375153,425.007,542.9825,0.0,2.0,12.0,12.0,0.0,2.044031,0.0,1.0,12.78,0.0,1.0,12.0,12.0,7800,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
14,2022.0,1.0,1.0,2.0,12.706667,91.333336,5.693333,0.0,0.0,0.0,0.0,0.0,18.610153,18.44565,19.20424,19.157751,62.252834,59.86307,424.1371,565.4229,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,12.0,12.0,8400,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
15,2022.0,1.0,1.0,2.0,12.73,91.5,5.795,0.0,0.0,0.0,0.0,0.0,18.57349,18.410406,19.090982,18.93549,62.59518,61.041676,423.41617,542.63745,0.0,2.0,12.0,12.0,0.0,2.043383,0.0,1.0,12.83,0.0,1.0,12.0,12.0,9000,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
16,2022.0,1.0,1.0,2.0,12.753333,91.666664,5.8966665,0.0,0.0,0.0,0.0,0.0,18.538164,18.376446,19.152946,19.106466,62.935852,60.51852,422.81906,564.9219,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.85,0.0,0.0,12.0,12.0,9600,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
17,2022.0,1.0,1.0,2.0,12.776667,91.833336,5.9983335,0.0,0.0,0.0,0.0,0.0,18.504044,18.343658,19.042032,18.888214,63.27494,61.669556,422.3248,542.1768,0.0,2.0,12.0,12.0,0.0,2.0427334,0.0,1.0,12.87,0.0,1.0,12.0,12.0,10200,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
18,2022.0,1.0,1.0,3.0,12.8,92.0,6.1,0.0,0.0,0.0,0.0,0.0,18.47107,18.311968,19.103514,19.057007,63.612453,61.143234,421.91592,564.327,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0,12.0,12.0,10800,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
19,2022.0,1.0,1.0,3.0,12.796667,92.166664,6.088333,0.0,0.0,0.0,0.0,0.0,18.43988,18.282097,18.995592,18.84313,63.92264,62.22886,421.57944,541.7774,0.0,2.0,12.0,12.0,0.0,2.0423093,0.0,1.0,12.92,0.0,1.0,12.0,12.0,11400,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
20,2022.0,1.0,1.0,3.0,12.793333,92.333336,6.076667,0.0,0.0,0.0,0.0,0.0,18.409723,18.253204,19.058865,19.012802,64.214165,61.656815,421.30243,564.0667,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.92,0.0,0.0,12.0,12.0,12000,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
21,2022.0,1.0,1.0,3.0,12.79,92.5,6.065,0.0,0.0,0.0,0.0,0.0,18.380455,18.22516,18.952667,18.801258,64.49018,62.677677,421.0743,541.68353,0.0,2.0,12.0,12.0,0.0,2.0421023,0.0,1.0,12.92,0.0,1.0,12.0,12.0,12600,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
22,2022.0,1.0,1.0,3.0,12.786667,92.666664,6.0533333,0.0,0.0,0.0,0.0,0.0,18.352036,18.197912,19.016594,18.970964,64.75311,62.084545,420.88638,564.0522,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.92,0.0,0.0,12.0,12.0,13200,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
23,2022.0,1.0,1.0,3.0,12.783334,92.833336,6.0416665,0.0,0.0,0.0,0.0,0.0,18.324345,18.171362,18.911936,18.76154,65.00515,63.07371,420.73154,541.73016,0.0,2.0,12.0,12.0,0.0,2.04189,0.0,1.0,12.92,0.0,1.0,12.0,12.0,13800,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
24,2022.0,1.0,1.0,4.0,12.78,93.0,6.03,0.0,0.0,0.0,0.0,0.0,18.297361,18.145468,18.976404,18.931206,65.24792,62.46886,420.6039,564.1503,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.92,0.0,0.0,12.0,12.0,14400,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
25,2022.0,1.0,1.0,4.0,12.803333,92.666664,6.105,0.0,0.0,0.0,0.0,0.0,18.271896,18.12128,18.874546,18.725687,65.43587,63.3362,420.49832,541.75476,0.0,2.0,12.0,12.0,0.0,2.041563,0.0,1.0,12.92,0.0,1.0,12.0,12.0,15000,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
26,2022.0,1.0,1.0,4.0,12.826667,92.333336,6.18,0.0,0.0,0.0,0.0,0.0,18.247265,18.097921,18.940369,18.89581,65.58152,62.654804,420.411,564.0173,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.91,0.0,0.0,12.0,12.0,15600,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
27,2022.0,1.0,1.0,4.0,12.85,92.0,6.255,0.0,0.0,0.0,0.0,0.0,18.223305,18.075218,18.841072,18.694284,65.69201,63.376972,420.33884,541.55853,0.0,2.0,12.0,12.0,0.0,2.0410895,0.0,1.0,12.9,0.0,1.0,12.0,12.0,16200,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
28,2022.0,1.0,1.0,4.0,12.873333,91.666664,6.33,0.0,0.0,0.0,0.0,0.0,18.199978,18.053114,18.907047,18.863157,65.77297,62.66585,420.2792,563.7028,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.89,0.0,0.0,12.0,12.0,16800,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
