,episode_num,cost,gas_cost,electricity_cost,cumulative_reward,mean_reward,cumulative_emissions,mean_emissions,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_emissions_penalty,mean_emissions_penalty,cumulative_air_quality_penalty,mean_air_quality_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,mean_air_quality_violation,std_air_quality_violation,cumulative_air_quality_violation,length(timesteps),time_elapsed(seconds),year,case,rep,zones_controlled,onoffseed,tempseed,filename
0,0,45635.62995694765,21656.97966093536,23978.650296012293,-154366.11282296944,-2.936950396175218,552.7303953637003,0.0105161795160521,-74514.69359617328,-1.417707260201166,-16581.91186091101,-0.3154853854815641,-42516.91035901732,-0.808921429966083,31.489726027397257,1.417707260201166,3.259381047119996,4251691.035901732,80.89214299660829,120.54854251267184,74514.69359617328,52560,31536000,2022,4,0,9,10,42,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_4_rep_0_zone_9_onoffseed_10_tempseed_42_paper2_final_runs_v2-res1_progress.csv
1,0,73595.16245117226,49616.51215515997,23978.650296012293,-102685.88672590996,-1.953688864648211,1159.0577941723632,0.02205208893022,-7411.572670850523,-0.1410116565991347,-34771.733825170886,-0.6615626679065998,-35066.11165375544,-0.667163463732029,9.653729071537292,0.1410116565991347,0.7402983157525864,3506611.1653755438,66.71634637320288,100.00228588519566,7411.572670850523,52560,31536000,2022,3,0,4,5,15,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_3_rep_0_zone_4_onoffseed_5_tempseed_15_paper2_final_runs_v2-res1_progress.csv
2,0,27462.78362487608,13006.536699571274,14456.246925304798,-138051.98576824565,-2.626559850994019,536.9408926290927,0.0102157704077072,-73557.15855529088,-1.399489318023038,-16108.22677887278,-0.3064731122312172,-42027.52392944367,-0.7996104248372083,33.525494672754945,1.399489318023038,3.258316557993148,4202752.392944367,79.96104248372083,119.22096541241709,73557.15855529088,52560,31536000,2023,4,0,9,10,15,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_4_rep_0_zone_9_onoffseed_10_tempseed_15_paper2_final_runs_v2-res1_progress.csv
3,0,50156.441604342726,26177.791308330423,23978.650296012293,-130196.3322010312,-2.477099166686286,652.854865149621,0.0124211351816898,-46859.89926960239,-0.8915505949315524,-19585.645954488627,-0.3726340554506969,-42303.44805491602,-0.8048601228104266,25.80098934550989,0.8915505949315524,2.487150753504304,4230344.805491602,80.48601228104266,119.87191855502326,46859.89926960239,52560,31536000,2022,4,0,4,10,30,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_4_rep_0_zone_4_onoffseed_10_tempseed_30_paper2_final_runs_v2-res1_progress.csv
4,0,67368.20412490923,67368.20412490923,0.0,-471982.29222877615,-8.979876183956929,2312.78983823294,0.0440028508035186,-10768.465985733665,-0.2048794898351153,-69383.6951469882,-1.3200855241055591,-406099.89844845433,-7.726405982657046,22.054794520547947,0.2048794898351153,0.7443444637835733,40609989.84484543,772.6405982657045,828.8084760906074,10768.465985733665,52560,31536000,2023,2,0,9,5,15,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_2_rep_0_zone_9_onoffseed_5_tempseed_15_paper2_final_runs_v2-res1_progress.csv
5,0,175010.29138187776,175010.29138187776,0.0,-501609.235893272,-9.543554716386454,3678.232930488497,0.0699816006561738,-70344.21602275604,-1.3383602744055565,-110346.98791465488,-2.099448019685215,-288089.10049100174,-5.48114726961571,23.515981735159816,1.3383602744055565,3.5138943418612474,28808910.04910017,548.114726961571,631.6244916661606,70344.21602275604,52560,31536000,2022,0,0,0,15,30,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_0_rep_0_zone_0_onoffseed_15_tempseed_30_paper2_final_runs_v2-res1_progress.csv
6,0,27462.78362487608,13006.536699571274,14456.246925304798,-138051.98576824565,-2.626559850994019,536.9408926290927,0.0102157704077072,-73557.15855529088,-1.399489318023038,-16108.22677887278,-0.3064731122312172,-42027.52392944367,-0.7996104248372083,33.525494672754945,1.399489318023038,3.258316557993148,4202752.392944367,79.96104248372083,119.22096541241709,73557.15855529088,52560,31536000,2023,4,0,9,5,30,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_4_rep_0_zone_9_onoffseed_5_tempseed_30_paper2_final_runs_v2-res1_progress.csv
7,0,211671.32550362265,211671.32550362265,0.0,-440934.51940342784,-8.389165133246344,4454.4608303269615,0.0847500157976971,-5.906619557954652,-0.0001123786065059,-133633.82490980884,-2.542500473930914,-267760.3013893562,-5.094374075139958,0.0247336377473363,0.0001123786065059,0.0094274594782509,26776030.13893562,509.4374075139958,612.4794529715564,5.906619557954652,52560,31536000,2022,0,0,0,5,30,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_0_rep_0_zone_0_onoffseed_5_tempseed_30_paper2_final_runs_v2-res1_progress.csv
8,0,84829.5950080156,84829.5950080156,0.0,-514535.3331681929,-9.789485029836245,2944.7738837285365,0.0560269003753526,-52297.87594813686,-0.995012860504887,-88343.2165118561,-1.6808070112605802,-392838.3655439984,-7.474093712785359,22.33257229832572,0.995012860504887,2.753448135083673,39283836.55439984,747.4093712785358,818.8823754208267,52297.87594813686,52560,31536000,2023,2,0,0,15,30,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_2_rep_0_zone_0_onoffseed_15_tempseed_30_paper2_final_runs_v2-res1_progress.csv
9,0,305865.4278790493,0.0,305865.4278790493,-544427.8644280329,-10.358216598706866,1543.408367259328,0.029364694963077,-722.0412807920266,-0.0137374672905636,-46302.25101777983,-0.8809408488923104,-293477.3165993906,-5.5836627967920585,4.539573820395739,0.0137374672905636,0.1401330356479418,29347731.659939054,558.3662796792058,628.7236211028687,722.0412807920266,52560,31536000,2022,5,0,4,5,30,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_5_rep_0_zone_4_onoffseed_5_tempseed_30_paper2_final_runs_v2-res1_progress.csv
