filename,year,case,rep,zones_controlled,onoffseed,tempseed,comforttemp,setbacktemp,Percent at 15,Percent at 16,Percent at 17,Percent at 18,Percent at 19,Percent at 20,Percent at 21,Percent at 22,Percent at 23,Percent at 24,Percent at 25 or above,Percent at 15 or below
./Eplus-env-08-19_thermostat_rbc_eco_year_2023_case_13_rep_0_zone_0_onoffseed_15_tempseed_15_comforttemp_20_setbacktemp_17_paper2_final_runs_v4-res1,2023,13,0,0,15,15,20,17,0.0,0.05156233886769104,0.2887490976590698,1.0724966484479737,2.732803959987625,5.434670516654635,14.911828400536248,25.399608126224603,9.105909044034236,6.899040940497062,34.10333092709085,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2023_case_13_rep_0_zone_0_onoffseed_15_tempseed_10_comforttemp_20_setbacktemp_13_paper2_final_runs_v4-res1,2023,13,0,0,15,10,20,13,0.010312467773538208,0.2681241621119934,0.5878106630916778,2.1553057646694853,4.702485304733423,14.220893059709189,23.759925750232032,9.920593998143756,6.5587295039703,6.465917294008457,31.349902031556155,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2023_case_1_rep_0_zone_9_onoffseed_5_tempseed_42_comforttemp_21_setbacktemp_15_paper2_final_runs_v4-res1,2023,1,0,9,5,42,21,15,0.0,0.0,1.0828091162215119,17.283695988450038,26.389605032484276,16.139012065587295,6.527792100649686,5.857481695369702,5.249046096730948,4.609673094771579,16.86088480973497,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2022_case_11_rep_0_zone_9_onoffseed_5_tempseed_42_comforttemp_20_setbacktemp_15_paper2_final_runs_v4-res1,2022,11,0,9,5,42,20,15,0.0,0.07218727441476745,9.508095287202227,26.430854903578428,18.108693410333093,6.754666391667525,4.960296999071878,5.135608951222028,4.207486851603589,4.867484789110034,19.95462514179643,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2022_case_1_rep_0_zone_0_onoffseed_5_tempseed_30_comforttemp_20_setbacktemp_15_paper2_final_runs_v4-res1,2022,1,0,0,5,30,20,15,0.0,0.0,0.0,0.05156233886769104,8.11591213777457,40.85799731875838,12.7668351036403,6.713416520573373,5.816231824275549,5.197483757863257,20.48056099824688,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2023_case_2_rep_0_zone_9_onoffseed_5_tempseed_42_comforttemp_20_setbacktemp_15_paper2_final_runs_v4-res1,2023,2,0,9,5,42,20,15,0.0,0.05156233886769104,10.848716097762194,28.730535217077446,16.252449211096216,6.063731050840466,5.455295452201712,5.517170258842941,5.166546354542642,4.702485304733423,17.21150871403527,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2023_case_12_rep_0_zone_0_onoffseed_10_tempseed_42_comforttemp_20_setbacktemp_17_paper2_final_runs_v4-res1,2023,12,0,0,10,42,20,17,0.0,2.526554604516861,7.012478086005982,13.416520573373209,27.812725585232545,8.435598638754254,6.26998040631123,5.805919356502011,5.7440445498607815,4.7849850469217285,18.191193152521397,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2022_case_4_rep_0_zone_0_onoffseed_10_tempseed_30_comforttemp_20_setbacktemp_15_paper2_final_runs_v4-res1,2022,4,0,0,10,30,20,15,0.11343714550892028,0.29906156543260803,1.185933793956894,2.784366298855316,11.622151180777559,19.55243889862844,11.16840259874188,7.24966484479736,6.888728472723522,6.538104568423224,32.56677322883366,0.030937403320614624
./Eplus-env-08-19_thermostat_rbc_eco_year_2023_case_4_rep_0_zone_0_onoffseed_10_tempseed_30_comforttemp_20_setbacktemp_15_paper2_final_runs_v4-res1,2023,4,0,0,10,30,20,15,0.020624935547076416,0.3403114365267609,0.7528101474682891,2.2687429101784056,12.674022893678458,20.150562029493656,13.282458492317211,7.631226152418273,5.888419098690316,5.537795194390018,31.45302670929153,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2022_case_7_rep_0_zone_9_onoffseed_5_tempseed_42_comforttemp_18_setbacktemp_17_paper2_final_runs_v4-res1,2022,7,0,9,5,42,18,17,0.0,4.444673610394967,34.99020315561514,9.095596576260698,6.6515417139321436,5.3006084355986385,4.630298030318655,5.135608951222028,4.207486851603589,4.7849850469217285,20.758997628132413,0.0
