filename,year,case,rep,zones_controlled,onoffseed,tempseed,comforttemp,setbacktemp,Percent at 15,Percent at 16,Percent at 17,Percent at 18,Percent at 19,Percent at 20,Percent at 21,Percent at 22,Percent at 23,Percent at 24,Percent at 25 or above,Percent at 15 or below
./Eplus-env-08-19_thermostat_rbc_eco_year_2023_case_13_rep_0_zone_9_onoffseed_5_tempseed_42_comforttemp_18_setbacktemp_13_paper2_final_runs_v4-res1,2023,13,0,9,5,42,18,13,0.0,0.05156233886769104,26.564916984634422,11.436526760853873,6.630916778385068,5.176858822316181,4.7746725791481905,4.393111271527276,4.66123543363927,4.764360111374652,31.545838919253377,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2022_case_13_rep_0_zone_0_onoffseed_5_tempseed_10_comforttemp_20_setbacktemp_17_paper2_final_runs_v4-res1,2022,13,0,0,5,10,20,17,0.0,0.0,0.0,0.0,0.0,0.4640610498092193,30.93740332061462,16.768072599773127,8.476848509848407,7.404351861400434,35.94926265855419,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2023_case_13_rep_0_zone_0_onoffseed_15_tempseed_42_comforttemp_20_setbacktemp_15_paper2_final_runs_v4-res1,2023,13,0,0,15,42,20,15,0.2578116943384552,0.6496854697329071,2.2687429101784056,4.723110240280499,20.511498401567497,14.509642157368258,7.734350830153655,5.86779416314324,5.403733113334021,5.527482726616479,32.54614829328658,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2023_case_8_rep_0_zone_0_onoffseed_5_tempseed_15_comforttemp_20_setbacktemp_13_paper2_final_runs_v4-res1,2023,8,0,0,5,15,20,13,0.0,0.0,0.0,0.0,0.0,0.0,0.6187480664122924,38.14581829431783,16.768072599773127,7.682788491285965,36.78457254821079,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2023_case_1_rep_0_zone_9_onoffseed_5_tempseed_42_comforttemp_19_setbacktemp_17_paper2_final_runs_v4-res1,2023,1,0,9,5,42,19,17,0.0,0.0,0.0,15.82963803238115,39.733938331442715,5.816231824275549,5.2902959678251005,5.98123130865216,5.393420645560482,5.053109209033722,16.90213468082912,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2022_case_2_rep_0_zone_9_onoffseed_5_tempseed_42_comforttemp_19_setbacktemp_15_paper2_final_runs_v4-res1,2022,2,0,9,5,42,19,15,0.0,0.0,0.0,25.20367123852738,28.895534701454057,5.455295452201712,4.66123543363927,5.022171805713107,4.599360626998041,5.187171290089719,20.975559451376714,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2023_case_8_rep_0_zone_0_onoffseed_15_tempseed_30_comforttemp_20_setbacktemp_17_paper2_final_runs_v4-res1,2023,8,0,0,15,30,20,17,0.030937403320614624,0.1443745488295349,1.2168711972775086,3.0112405898731565,5.671857275446015,24.058987315664638,14.200268124162113,7.476539135815201,5.7337320820872435,5.6409198721254,32.81427245539857,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2023_case_9_rep_0_zone_0_onoffseed_5_tempseed_15_comforttemp_20_setbacktemp_13_paper2_final_runs_v4-res1,2023,9,0,0,5,15,20,13,0.0,0.0,0.0,0.0,0.0,0.0,0.3609363720738373,29.411158090130968,22.49149221408683,9.879344127049603,37.85706919665876,0.0
./Eplus-env-08-19_thermostat_rbc_eco_year_2022_case_12_rep_0_zone_0_onoffseed_15_tempseed_30_comforttemp_20_setbacktemp_13_paper2_final_runs_v4-res1,2022,12,0,0,15,30,20,13,1.144683922862741,2.485304733422708,4.589048159224503,4.939672063524801,5.104671547901413,13.220583685675983,26.368980096937193,7.383726925853357,5.517170258842941,5.23873362895741,22.862741053934208,1.144683922862741
./Eplus-env-08-19_thermostat_rbc_eco_year_2022_case_6_rep_0_zone_9_onoffseed_5_tempseed_42_comforttemp_21_setbacktemp_17_paper2_final_runs_v4-res1,2022,6,0,9,5,42,21,17,0.0,0.0,0.0,0.0,0.0,28.19428689285346,35.53676394761266,5.7234196143137055,4.764360111374652,5.321233371145715,20.459936062699803,0.0
