Material,Thermal_Conductivity,Density,Specific_Heat_Capacity,Roughness,Thermal_Absorptance,Solar_Absorptance,Visual_Absorptance
G07 100mm wood,0.15,608,1630,MediumSmooth,0.9,0.7,0.7
Gypsum or plaster board - 9.5mm,0.58,800,1090,MediumSmooth,0.9,0.7,0.7
Insulation: Glass fiber - organic bonded - 25mm,0.036,64,960,MediumRough,0.9,0.7,0.7
Concrete: Sand and gravel or stone aggregate concretes - 2080 kg/m3 - 102mm,1.45,2080,900,MediumRough,0.9,0.7,0.7
M11 100mm lightweight concrete,0.53,1280,840,MediumRough,0.9,0.7,0.7
Brick - fired clay - 2400 kg/m3 - 102mm,1.34,2400,790,MediumRough,0.9,0.7,0.7
Brick - fired clay - 1600 kg/m3 - 102mm,0.675,1600,790,MediumRough,0.9,0.7,0.7
M02 150mm lightweight concrete block,0.49,512,880,MediumRough,0.9,0.7,0.7
Hardboard Medium density,0.105,800,130,Smooth,0.9,0.7,0.7
