Material,Thermal_Resistance,Roughness,Thermal_Absorptance,Solar_Absorptance,Visual_Absorptance
Clay tile - hollow - 2 cells deep - 200mm,0.33,MediumRough,0.9,0.7,0.7
Asphalt roll roofing,0.026,MediumRough,0.9,0.7,0.7
F05 Ceiling air space resistance,0.18,MediumRough,0.9,0.7,0.7
F04 Wall air space resistance,0.15,MediumRough,0.9,0.7,0.7
