,sensors,room,equipment,comments,relevant
112,binary_sensor.zone_1_person_occupancy.json,,,,
113,button.presence_sensor_fp2_77e2_identify.json,,,,
114,sensor.bedroom_window_battery.json,,,,
115,sensor.co2.json,,,,yes
116,sensor.current.json,,,whats this,
117,sensor.dining_room_heating.json,,,,
118,sensor.dining_room_humidity.json,,,,
119,sensor.dining_room_tado_mode.json,,,,
120,sensor.dining_room_temperature.json,,,,yes
121,sensor.disk_use_percent_media_frigate.json,,,,
122,sensor.doorbell_battery_percentage.json,,,,
123,sensor.doorbell_battery_temperature.json,,,,
124,sensor.doorbell_charging_status.json,,,,
125,sensor.doorbell_days_since_last_charging.json,,,,
126,sensor.doorbell_person_name.json,,,,
127,sensor.doorbell_snooze_start_time.json,,,,
128,sensor.doorbell_snooze_time.json,,,,
129,sensor.doorbell_stream_provider.json,,,,
130,sensor.doorbell_stream_status.json,,,,
131,sensor.doorbell_stream_url.json,,,,
132,sensor.doorbell_video_codec.json,,,,
133,sensor.doorbell_video_queue_size.json,,,,
134,sensor.doorbell_wifi_rssi.json,,,,
135,sensor.doorbell_wifi_signal_level.json,,,,
136,sensor.downstairs_loo_temp_battery.json,,,,
137,sensor.downstairs_loo_temp_humidity.json,,,,
138,sensor.downstairs_loo_temp_temperature.json,,,,yes
139,sensor.dw_front_door_battery.json,,,,
140,sensor.dw_lounge_sliding_door_battery.json,,,,
141,sensor.fibaro_outlet_energy_meter.json,,,,
142,sensor.fibaro_outlet_power_meter.json,,,,
143,sensor.freezer_plug_energy_meter.json,,,,
144,sensor.freezer_plug_power_meter.json,,,,
145,sensor.front_all_count.json,,,,
146,sensor.front_car_count.json,,,,
147,sensor.front_person_count.json,,,,
148,sensor.frontpatch_all_count.json,,,,
149,sensor.frontpatch_person_count.json,,,,
150,sensor.garden_all_count.json,,,,
151,sensor.garden_person_count.json,,,,
152,sensor.gosund100_activity_state.json,,,,
153,sensor.gosund100_current.json,,,,
154,sensor.gosund100_daily_energy.json,,,,
155,sensor.gosund100_power.json,,,,
156,sensor.gosund100_voltage.json,,,,
157,sensor.gosund100_wifi_status.json,,,,
158,sensor.gosund703_activity_state.json,,,,
159,sensor.gosund703_current.json,,,,
160,sensor.gosund703_daily_energy.json,,,,
161,sensor.gosund703_power.json,,,,
162,sensor.gosund703_voltage.json,,,,
163,sensor.gosund703_wifi_status.json,,,,
164,sensor.gosundx_activity_state.json,,,,
165,sensor.gosundx_current.json,,,,
166,sensor.gosundx_daily_energy.json,,,,
167,sensor.gosundx_power.json,,,,
168,sensor.gosundx_voltage.json,,,,
169,sensor.gosundx_wifi_status.json,,,,
170,sensor.grid_1.json,,,,
171,sensor.grid_2.json,,,,
172,sensor.grid_kwh_1.json,,,,
173,sensor.grid_kwh_2.json,,,,
174,sensor.hacs.json,,,,
175,sensor.haydens_room_button_action.json,,,,
176,sensor.haydens_room_button_battery.json,,,,
177,sensor.home_automatic_geofencing.json,,,,
178,sensor.home_geofencing_mode.json,,,,
179,sensor.home_outdoor_temperature.json,,,,
180,sensor.home_solar_percentage.json,,,,
181,sensor.home_tado_mode.json,,,,
182,sensor.home_weather_condition.json,,,,
183,sensor.hot_water_tado_mode.json,,,,
184,sensor.humidity.json,,,which room?,
185,sensor.humidity_2.json,,,,
186,sensor.hutchtemp_temperature.json,,,,
187,sensor.iains_roku_active_app.json,,,,
188,sensor.iains_roku_active_app_id.json,,,,
189,sensor.iains_room_heating.json,,,,
190,sensor.iains_room_humidity.json,,,,
191,sensor.iains_room_tado_mode.json,,,,
192,sensor.iains_room_temperature.json,,,,
193,sensor.kitchen_temperature_battery.json,,,,
194,sensor.kitchen_temperature_relative_humidity_measurement.json,,,,
195,sensor.kitchen_temperature_temperature_measurement.json,,,,
196,sensor.kitchenpir_light_level.json,,,,
197,sensor.kitchenpir_lihjt_level.json,,,,
198,sensor.light_1st_floor_landing_color_options.json,,,,
199,sensor.light_2nd_floor_landing_color_options.json,,,,
200,sensor.light_dining_room_color_options.json,,,,
201,sensor.light_entrance_color_options.json,,,,
202,sensor.light_hayden_color_options.json,,,,
203,sensor.light_iain_color_options.json,,,,
204,sensor.light_lounge_color_options.json,,,,
205,sensor.light_master_bedroom_color_options.json,,,,
206,sensor.light_study_color_options.json,,,,
207,sensor.lounge_heating.json,,,,
208,sensor.lounge_humidity.json,,,,
209,sensor.lounge_room_temperature.json,,,,
210,sensor.lounge_tado_mode.json,,,,
211,sensor.lounge_temperature.json,,,,
212,sensor.loungetemp_wifi_signal.json,,,,
213,sensor.master_bedroom_heating.json,,,,
214,sensor.master_bedroom_humidity.json,,,,
215,sensor.master_bedroom_tado_mode.json,,,,
216,sensor.master_bedroom_temperature.json,,,,
217,sensor.master_media_playback_status.json,,,,
218,sensor.master_volume.json,,,,
219,sensor.national_grid_current_carbon_intensity.json,,,,
220,sensor.national_grid_dfs_requirements.json,,,,
221,sensor.national_grid_embedded_solar_forecast_fourteen_day.json,,,,
222,sensor.national_grid_embedded_solar_forecast_three_day.json,,,,
223,sensor.national_grid_embedded_wind_forecast_fourteen_day.json,,,,
224,sensor.national_grid_embedded_wind_forecast_three_day.json,,,,
225,sensor.national_grid_grid_demand_day_ahead_forecast.json,,,,
226,sensor.national_grid_grid_demand_fourteen_day_forecast.json,,,,
