timestep,year,month,day,hour,Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Diffuse Solar Radiation Rate per Area(Environment),Site Direct Solar Radiation Rate per Area(Environment),Site Rain Status(Environment),Environmental Impact Total CO2 Emissions Carbon Equivalent Mass(Site),Facility Net Purchased Electricity Rate(Whole Building),Zone Operative Temperature(Living),Zone Air Temperature(Living),Zone Operative Temperature(Bedroom),Zone Air Temperature(Bedroom),Zone Air Relative Humidity(Living),Zone Air Relative Humidity(Bedroom),Zone Air CO2 Concentration(Living),Zone Air CO2 Concentration(Bedroom),Zone People Occupant Count(Living),Zone People Occupant Count(Bedroom),Schedule Value(Living-Thermostat Dual SP Control-HEATING-EXT),Schedule Value(Bedroom-Thermostat Dual SP Control-HEATING-EXT),Zone Ventilation Air Change Rate(Living),Zone Ventilation Air Change Rate(Bedroom),Schedule Value(Living-Ventilation-EXT),Schedule Value(Bedroom-Ventilation-EXT),Schedule Value(1 Hour Temperature Forecast Schedule),Living-Ventilation-EXT,Bedroom-Ventilation-EXT,Living-Thermostat Dual SP Control-HEATING-EXT,Bedroom-Thermostat Dual SP Control-HEATING-EXT,time (seconds),reward,emissions,reward_emissions,abs_comfort,reward_comfort,abs_air_quality,reward_air_quality,done
0,2022.0,1.0,1.0,0.0,12.39,90.0,5.93,0.0,0.0,0.0,0.0,0.0,20.035292,20.342676,20.018114,20.216454,54.84103,54.564632,473.2012,579.6115,0.0,2.0,20.0,20.0,0.0,0.0,0.0,0.0,12.53,,,,,0,,,,,False
1,2022.0,1.0,1.0,0.0,12.348333,90.166664,5.8,0.0,0.0,0.0,0.0,0.0,19.598423,19.506523,19.742256,19.682444,57.729088,56.488277,466.91898,588.72974,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.66,0.0,0.0,12.0,12.0,600,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
2,2022.0,1.0,1.0,0.0,12.306666,90.333336,5.67,0.0,0.0,0.0,0.0,0.0,19.32874,19.126635,19.668266,19.611313,58.981384,56.777966,455.6026,605.7855,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.68,0.0,0.0,12.0,12.0,1200,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
3,2022.0,1.0,1.0,0.0,12.265,90.5,5.54,0.0,0.0,0.0,0.0,0.0,19.219717,19.018179,19.622332,19.565973,59.311237,56.947197,449.25156,615.68475,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.71,0.0,0.0,12.0,12.0,1800,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
4,2022.0,1.0,1.0,0.0,12.223333,90.666664,5.41,0.0,0.0,0.0,0.0,0.0,19.133251,18.933527,19.580318,19.524548,59.558674,57.092014,444.0755,623.9929,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.73,0.0,0.0,12.0,12.0,2400,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
5,2022.0,1.0,1.0,0.0,12.181666,90.833336,5.28,0.0,0.0,0.0,0.0,0.0,19.057995,18.860136,19.542488,19.487238,59.76841,57.213673,439.84705,631.0288,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.75,0.0,0.0,12.0,12.0,3000,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
6,2022.0,1.0,1.0,1.0,12.14,91.0,5.15,0.0,0.0,0.0,0.0,0.0,18.990429,18.794401,19.507593,19.452831,59.952827,57.318066,436.3862,637.0454,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.78,0.0,0.0,12.0,12.0,3600,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
7,2022.0,1.0,1.0,1.0,12.226666,91.0,5.2066665,0.0,0.0,0.0,0.0,0.0,18.932083,18.740732,19.475943,19.422497,60.111225,57.423706,433.53482,641.97095,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,12.0,12.0,4200,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
8,2022.0,1.0,1.0,1.0,12.3133335,91.0,5.2633333,0.0,0.0,0.0,0.0,0.0,18.879562,18.69289,19.446692,19.39453,60.31542,57.582664,431.18365,646.0035,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,12.0,12.0,4800,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
9,2022.0,1.0,1.0,1.0,12.4,91.0,5.32,0.0,0.0,0.0,0.0,0.0,18.831562,18.649494,19.419641,19.368752,60.55938,57.784634,429.2439,649.30597,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,12.79,0.0,0.0,12.0,12.0,5400,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
